key,identifier,url,title,year,author,degree_grantor,department,degree_supervisor,description,place,lon,lat,Frequency
122,f3jh3jcm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3jh3jcm,The Dark Side of Growth,2015,"Abi Najem, Pamela","University of California, Santa Barbara. Global and International Studies",Global and International Studies,Richard Appelbaum,"As billions of dollars are being invested in construction, construction workers are the physical driving force behind the UAE's infrastructural development and overall growth. Despite being an integral component to decreasing the dependence on oil rents and diversifying the economy through construction, workers in this industry are severely mistreated. This study seeks to provide a comprehensive overview of workers' rights in the construction industry in the UAE. The central research question framing this study is: what are the labor violations faced by workers and to what degree has the UAE government responded to these issues? The follow up questions are then, have working conditions improved and what are the challenges in improving these conditions? This study employs a qualitative approach, drawing on current literature in order to answer the central research questions. The discussion in this paper is based on an analysis of the information collected through archival research and is divided into 7 chapters. The penultimate chapter of this thesis features a case study of Abu Dhabi's $27 billion megaproject, Saayidat Island, which is home to the new Guggenheim, Louvre, and New York University (NYU) satellite campus. This current case study will be used in order to examine the status of workers' rights violations and the level of enforcement of government policy on labor issues. After a review of government policy on labor, this paper concludes that the UAE does not lack legislation on labor issues, but rather lacks enforcement of these laws. Thus, this study finds that the largest hurdles to enforcing labor laws is the level of crony capitalism between the government and the construction industry and the disposability of labor. This study hypothesizes that the partnerships Abu Dhabi is building with big international names at Saayidat Island, like the Guggenheim and Louvre museums and also universities like New York University, may serve as a tipping point and bring more international scrutiny to violations of workers' rights in this industry. The hope is that mounting international pressure, as seen in Qatar leading up to the 2022 World Cup, will encourage the UAE to go beyond responding to these issues at the institutional level and motivate them to enforce the labor laws on the ground. In the 1960s the United Arab Emirates (UAE) struck oil. Over the years, the UAE has increasingly invested in an array of sectors to reduce economic dependence on hydrocarbon exports. All sectors that the UAE is actively investing in, are not only global but require infrastructure development. Between the Emirates of Dubai and Abu Dhabi there are currently about 1,300 construction projects in development worth over $418 billion (Sonmez et al., 2011). The Emirates lack the domestic labor force required to support these construction endeavors. For this reason, the UAE is largely dependent on migrant labor.",Abu Dhabi,54.3773,24.4539,1
980,f398851w,https://www.alexandria.ucsb.edu/lib/ark:/48907/f398851w,Stretching Limited Resources Here and There: A Multi-Sited Ethnographic Study of Migrants from Guerrero in the United States,2013,"Montes, Veronica","University of California, Santa Barbara. Sociology",Sociology,"William I. Robinson, Juan-Vicente Palerm","This dissertation examines the interplay between processes of globalization and transnational migration and their impact at the micro level in the understudied area of gendered household economic strategies in both sending and receiving communities. Drawing on a multi-sited ethnography study which employed a two-phase mixed methods approach, I analyzed migration histories, occupational mobility, migration dispersion in the U.S., and household economic strategies, in two transnational communities: 1) Acayahualco, Guerrero Mexico and Santa Barbara, CA and 2) Mayanalan, Guerrero Mexico and Wilmington, DE. To ascertain key socio-demographic features of the populations under study, I developed a 162-item survey that I administered to 90 households in the sending communities of Guerrero, Mexico. The survey results were both complemented and challenged by my multi-sited ethnographic research comprising 50 in-depth interviews, along with participant observation in the sending and receiving communities. This study offers two contributions to sociology: in the one hand it examines the ways in which globalization takes place at the local level, specifically in the social context of international migration. By undertaking this type of dialectic analysis of the global and the local, this study sheds light on the individual's response capabilities and, more importantly, on their agency power in the face of global processes. This proactive agency on the part of the transnational migrant families becomes evident as they are observed looking constantly for ways to ""stretch their limited resources"" to cover expenses by relying on their unlimited resourcefulness. In this context, international migration should not be viewed simply as a survival strategy for peasant families, but, as a mechanism of reaction and resistance against global capitalism barriers. On the other hand, I demonstrated throughout this work, the social phenomenon of international migration in these two communities, and within their domestic units, is the result of an accumulative and uninterrupted process that has been shaped by a vast number of learning experiences, social and cultural exchanges, and innovative and resourceful practices to cope with the challenges of becoming transnational. The transnational perspective allows us to underscore how, in spite of being physically separated by great distances, the development of household economic strategies by migrants and their families are deeply linked. This transnational linkage allows migrants and their families in their communities of origins to cope with the challenges of a globalized economy that has been detrimental to their living conditions. In this sense, the results of my study counter the view that sees migrants and their families in their communities of origin as puppets controlled by forces beyond their own control. Rather, this study emphasizes how migrants and their families with hard-working ethics look for opportunities to improve their socioeconomic circumstances and enhance their living conditions.",Acayahualco,-99.4818991,18.2268164,1
1065,f3zc80zv,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3zc80zv,"Integrating Space and Place into Children's Perceptions of Environmental Health Hazards in Accra, Ghana",2013,"Jankowska, Marta Maja","University of California, Santa Barbara. Geography, Joint Program SDSU","Geography, Joint Program SDSU","John R. Weeks, David Lopez-Carr","Health in the developing world is becoming particularly complex due to disparate economic and environmental contexts residing in close spatial proximity, each paving the way for widely different environmental health hazards resulting in acute and chronic illness. In navigating this increasingly heterogeneous landscape, children in Accra, Ghana face multiple types of environmental health hazards as they travel from home, to school, to friends' houses, and to visit family. A child-in-home, or even child-in-neighborhood model of third world urban health hazards cannot account for the complexity of hazards and health threats faced by children on a daily basis. Yet children in Accra, particularly as they move out of their especially vulnerable early years, manage to navigate and mitigate health hazards. Little is known about how children perceive environmental health hazards: their spatially situated knowledge of hazards within daily environments may lead to a better understanding of how space and place drive human-environment health interactions. Furthermore, numerous studies have demonstrated that children in both the developed and developing world are acting with increased agency regarding health. This research proposes to advance the health geography, environmental health, and health education literature by working with children from three diverse contextual backgrounds in a developing third world city to examine verbal, visual, and spatial perceptions of health and environmental health hazards. The dissertation does this by establishing baseline differences of children and adult's perceptions of children's health, testing child-friendly visual methods of assessing health knowledge, and developing a novel method of assessing spatial patterns of health perceptions through GPS and photography. Results indicate that children in Accra have distinct, and often varying, perceptions of health when compared to adults and across socioeconomic groups. Photographic methods that contextualize health are good measures of health knowledge and perceptions. Furthermore, placing health perceptions in space as children move through the environment sheds light on spatial properties of health perceptions, such as health related landmarks, and regional categorization of spaces into healthy and unhealthy places.",Accra,-0.1869644,5.6037168,2
1270,f3p848vs,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3p848vs,"Spatial Patterns of Water Insecurity in a Developing City: Lessons from Accra, Ghana",2012,"Stoler, Justin","University of California, Santa Barbara. Geography, Joint Program SDSU","Geography, Joint Program SDSU",John R. Weeks,"Intraurban differentials in safe drinking water in developing cities have been exacerbated by rapid population growth that exceeds expansion of local water infrastructure. In Accra, Ghana, municipal water is rationed to meet demand, and the gap in water services is increasingly being filled by private water vendors selling packaged ""sachet"" water. Private sector sale of sachet water has grown to fill an important gap in household water security, and consumption of sachet water has been on the rise in West Africa over the last decade. Sachets extend drinking water coverage deeper into low-income areas and alleviate the need for safe water storage. This potentially introduces a health benefit over stored tap water, but at an additional cost both financially and environmentally. The long-term implications of these changing consumption patterns remain unclear. This work begins by reviewing recent shifts in drinking water sources from recent Ghana Demographic and Health Surveys, as well as the history, economics, quality, and regulation of sachet water in Ghana's Accra-Tema Metropolitan Area. It proceeds to explore correlates of using sachets as the primary drinking water source for two large samples of women drawn from separate household surveys in Accra, and investigates links between sachet water and reported diarrhea episodes in a subset of children under five. Within Accra's slums, neighborhood water rationing and lower socioeconomic status tend to increase a household's likelihood of buying sachet water, and sachet customers tend to be the poorest of the poor. Sachet use is also associated with higher levels of self-reported overall health in women, and lower likelihood of diarrhea in children. More broadly, after controlling for all socioeconomic groups in Accra, sachet use is associated with younger age, lower overall health, and neighborhood water rationing. Sachet water consumption also seems to have transitioned from an initial luxury good of the rich to a widespread phenomenon of the urban poor between 2008 and 2010. Given the pros and cons of sachet water, a more holistic understanding of the drinking water landscape is necessary for municipal planning and sustainable drinking water provision.",Accra,-0.1869644,5.6037168,2
1083,f37942t5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f37942t5,"Learn, Respect, Enjoy On Sex Education in Iran",2013,"Zand, Leva","University of California, Santa Barbara. Feminist Studies",Feminist Studies,Janet Afary,"Sexual health education has, and will continue to be, an issue that the international community confronts regularly. It has been recognized widely that sexual health is an important aspect of reproductive rights, as well psychological and physical well being. In Iran, the same concerns regarding the mental and physical aspects of sexual health exist, however they are severely neglected. Drawing on my own experiences and my research in graduate school, I initiated a project that addresses this disparity of sexual health information in Iran. Taking into account the diversity of the population, and the sensitivity of the discourse, I developed an online platform, in Persian, which the Iranian public could access in order to obtain a fundamental sexual health education that might help them better understand their own circumstances. This report will elaborate on the implementation and progression of this project in greater detail. The logistics of the website's development will be addressed, along with the strategic planning and consultation that helped shape the displayed content. Most importantly, I will demonstrate the effective nature of this project, and how that has evolved throughout the past year. Future plans will include what can make the website a stronger and more applicable source for sexual health education of the Persian speaking population, inside Iran and Afghanistan, and within the diaspora communities.",Afghanistan,67.709953,33.93911,2
264,f39w0cp2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f39w0cp2,Roads from War: Challenges to Afghanistan's Rural Infrastructural Development,2015,"Schwankl, Clifford Joel","University of California, Santa Barbara. Global and International Studies",Global and International Studies,"Raymond Clemencon, Paul Amar","Rural access infrastructural development projects in post 2001 Afghanistan represent a vital component of the economic recovery of the state. This thesis examines four of the most prevalent of these projects implemented by the World Bank, and in doing so substantiates the significant challenges faced by both the international development aid community and domestic implementing agencies. These challenges not only impact the efficiency and outcomes of these rural access projects, but are also significantly observable across a broader set of infrastructural development and rehabilitation programs throughout Afghanistan. While these issues are certainly exacerbated by the austere operational climate of the region itself, referring to ongoing conflict, government capacity and legitimacy limitations, and economic instability, they should more accurately be understood as symptomatic of greater structural contradictions within contemporary ""development"" paradigms. The future success or failure of Afghanistan's economic recovery will depend on the international aid community's ability to aggressively reform its aid goals and success indicators, facilitate domestic institutional agency in establishing and realizing development goals, and definitively separating aid goals and operations from military ones.",Afghanistan,67.709953,33.93911,2
302,f3gm85h5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gm85h5,"Contested Illegality: Three Generations of Exclusion through Mexican ""Repatriation"" and the Politics of Immigration Law, 1920-2005",2015,"Ramirez, Marla Andrea","University of California, Santa Barbara. Chicana and Chicano Studies",Chicana and Chicano Studies,"Miroslava Chavez-Garcia, Dolores I. Casillas","My research examines early twentieth-century immigration policies focusing on the experience of ""repatriation"" that tore apart Mexican and Mexican American families throughout the United States. It considers this historical moment as the ""banishment"" of U.S. citizens of Mexican descent to foreground the difference between repatriation, which implies that the person is not a citizen of a given country and banishment, referring to citizens who are banned from their home country. This discursive difference challenges much of the literature that refers to these banishments as ""repatriations"", obscuring the systematic racist and exclusionist immigration policies. The legal, social, and cultural ramifications of banishment on second and third generation descendants of U.S. citizens are largely absent in Chicana/o-Latina/o historiographies and immigration legal studies. My work takes an innovative approach in that it focuses on the prolonged consequences of immigration policies on surviving banished U.S. citizens and their descendants and the link to today's growing legally mixed-status households across the United States. My study demonstrates that U.S. immigration policies continue to ignore the long and complex Mexico-U.S. immigration relations, failing to create adequate paths to legalization for old and new generations of Mexican immigrants. This study centers on the experiences of banishment of three extended families and uses their oral histories across multiple generations to recover and rewrite the history of forced exclusion. The families are composed of surviving U.S. citizens who were banished during the early twentieth century and/or who are descendants of those survivors who have returned to the United States, some as undocumented immigrants. The participating families include the Yanez family, residing in Anaheim, California; the Molina family, spread throughout California, Alabama, and Mexico; and the Robles family, living in Pasadena, California. To allow for personal accounts as well as communal- or family-based interpretations, each family member is interviewed individually and then the entire family is interviewed collectively, providing for a multiplicity of insights and richly texture points of views. In addition to oral histories, this study mines the families' archives, which are composed of photographs, letters, and legal records detailing the experiences of banishment over the course of the twentieth century. Institutional records, including legal histories, archival materials, and demographic data housed at the National Archives in Washington D.C. and the regional branches in Los Angeles, California, as well as El Paso, Texas are used to contextualize the primary research and to reconstruct and reinterpret the immigration policies of the time. My study indicates that these families experienced repatriation in very unique ways, but with a common sense of contempt that extends across family generations, and continue to face real legal and social collateral consequences. My findings demonstrate that an almost 90-year-old unofficial, later becoming official, policy continues to classify direct descendents of banished U.S. citizens as ""illegal"" immigrants in their parents and grandparents' home country. Banishment has resulted in what I term, a transgenerational illegality, which has been nearly impossible to shake. These findings are crucial at a time where immigration remains central to national debates. The twenty original oral histories collected for this study demonstrate that, despite the subjugation of these families, the descendants found ways to challenge their ""illegal"" status, giving rise to the concept of a contested illegality..",Alabama,-86.902298,32.3182314,5
302,f3gm85h5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gm85h5,"Contested Illegality: Three Generations of Exclusion through Mexican ""Repatriation"" and the Politics of Immigration Law, 1920-2005",2015,"Ramirez, Marla Andrea","University of California, Santa Barbara. Chicana and Chicano Studies",Chicana and Chicano Studies,"Miroslava Chavez-Garcia, Dolores I. Casillas","My research examines early twentieth-century immigration policies focusing on the experience of ""repatriation"" that tore apart Mexican and Mexican American families throughout the United States. It considers this historical moment as the ""banishment"" of U.S. citizens of Mexican descent to foreground the difference between repatriation, which implies that the person is not a citizen of a given country and banishment, referring to citizens who are banned from their home country. This discursive difference challenges much of the literature that refers to these banishments as ""repatriations"", obscuring the systematic racist and exclusionist immigration policies. The legal, social, and cultural ramifications of banishment on second and third generation descendants of U.S. citizens are largely absent in Chicana/o-Latina/o historiographies and immigration legal studies. My work takes an innovative approach in that it focuses on the prolonged consequences of immigration policies on surviving banished U.S. citizens and their descendants and the link to today's growing legally mixed-status households across the United States. My study demonstrates that U.S. immigration policies continue to ignore the long and complex Mexico-U.S. immigration relations, failing to create adequate paths to legalization for old and new generations of Mexican immigrants. This study centers on the experiences of banishment of three extended families and uses their oral histories across multiple generations to recover and rewrite the history of forced exclusion. The families are composed of surviving U.S. citizens who were banished during the early twentieth century and/or who are descendants of those survivors who have returned to the United States, some as undocumented immigrants. The participating families include the Yanez family, residing in Anaheim, California; the Molina family, spread throughout California, Alabama, and Mexico; and the Robles family, living in Pasadena, California. To allow for personal accounts as well as communal- or family-based interpretations, each family member is interviewed individually and then the entire family is interviewed collectively, providing for a multiplicity of insights and richly texture points of views. In addition to oral histories, this study mines the families' archives, which are composed of photographs, letters, and legal records detailing the experiences of banishment over the course of the twentieth century. Institutional records, including legal histories, archival materials, and demographic data housed at the National Archives in Washington D.C. and the regional branches in Los Angeles, California, as well as El Paso, Texas are used to contextualize the primary research and to reconstruct and reinterpret the immigration policies of the time. My study indicates that these families experienced repatriation in very unique ways, but with a common sense of contempt that extends across family generations, and continue to face real legal and social collateral consequences. My findings demonstrate that an almost 90-year-old unofficial, later becoming official, policy continues to classify direct descendents of banished U.S. citizens as ""illegal"" immigrants in their parents and grandparents' home country. Banishment has resulted in what I term, a transgenerational illegality, which has been nearly impossible to shake. These findings are crucial at a time where immigration remains central to national debates. The twenty original oral histories collected for this study demonstrate that, despite the subjugation of these families, the descendants found ways to challenge their ""illegal"" status, giving rise to the concept of a contested illegality..",Alabama,-86.902298,32.3182314,5
302,f3gm85h5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gm85h5,"Contested Illegality: Three Generations of Exclusion through Mexican ""Repatriation"" and the Politics of Immigration Law, 1920-2005",2015,"Ramirez, Marla Andrea","University of California, Santa Barbara. Chicana and Chicano Studies",Chicana and Chicano Studies,"Miroslava Chavez-Garcia, Dolores I. Casillas","My research examines early twentieth-century immigration policies focusing on the experience of ""repatriation"" that tore apart Mexican and Mexican American families throughout the United States. It considers this historical moment as the ""banishment"" of U.S. citizens of Mexican descent to foreground the difference between repatriation, which implies that the person is not a citizen of a given country and banishment, referring to citizens who are banned from their home country. This discursive difference challenges much of the literature that refers to these banishments as ""repatriations"", obscuring the systematic racist and exclusionist immigration policies. The legal, social, and cultural ramifications of banishment on second and third generation descendants of U.S. citizens are largely absent in Chicana/o-Latina/o historiographies and immigration legal studies. My work takes an innovative approach in that it focuses on the prolonged consequences of immigration policies on surviving banished U.S. citizens and their descendants and the link to today's growing legally mixed-status households across the United States. My study demonstrates that U.S. immigration policies continue to ignore the long and complex Mexico-U.S. immigration relations, failing to create adequate paths to legalization for old and new generations of Mexican immigrants. This study centers on the experiences of banishment of three extended families and uses their oral histories across multiple generations to recover and rewrite the history of forced exclusion. The families are composed of surviving U.S. citizens who were banished during the early twentieth century and/or who are descendants of those survivors who have returned to the United States, some as undocumented immigrants. The participating families include the Yanez family, residing in Anaheim, California; the Molina family, spread throughout California, Alabama, and Mexico; and the Robles family, living in Pasadena, California. To allow for personal accounts as well as communal- or family-based interpretations, each family member is interviewed individually and then the entire family is interviewed collectively, providing for a multiplicity of insights and richly texture points of views. In addition to oral histories, this study mines the families' archives, which are composed of photographs, letters, and legal records detailing the experiences of banishment over the course of the twentieth century. Institutional records, including legal histories, archival materials, and demographic data housed at the National Archives in Washington D.C. and the regional branches in Los Angeles, California, as well as El Paso, Texas are used to contextualize the primary research and to reconstruct and reinterpret the immigration policies of the time. My study indicates that these families experienced repatriation in very unique ways, but with a common sense of contempt that extends across family generations, and continue to face real legal and social collateral consequences. My findings demonstrate that an almost 90-year-old unofficial, later becoming official, policy continues to classify direct descendents of banished U.S. citizens as ""illegal"" immigrants in their parents and grandparents' home country. Banishment has resulted in what I term, a transgenerational illegality, which has been nearly impossible to shake. These findings are crucial at a time where immigration remains central to national debates. The twenty original oral histories collected for this study demonstrate that, despite the subjugation of these families, the descendants found ways to challenge their ""illegal"" status, giving rise to the concept of a contested illegality..",Alabama,-86.902298,32.3182314,5
1414,f3qr4v2n,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3qr4v2n,"Incorporation of salt-rich dust from Owens Lake playa in soils along the Sierra Nevada piedmont: Soil properties, and ionic and isotopic ratios as provenance tracers",2012,"Quick, Dayna Jamal","University of California, Santa Barbara. Geography",Geography,Oliver A. Chadwick,"Global anthropogenic desiccation of lake basins in arid and semi-arid areas result in substantial increases in the flux of aeolian material. In California, Owens Lake playa has produced a tremendous amount of windblown dust since its desiccation in the early 20th century. In view of the potential danger to human health of the dust blowing off the playa, the chemistry and mineralogy of playa sediments and dust are well known. By contrast, the impact of the dust on surrounding soils and ecosystems in Owens Valley has been less well studied. This dissertation documents the accumulation of dust-derived salts from Owens Lake playa in nearby alluvial soils sourced from Sierra Nevada granite. I evaluate patterns of electrical conductivity (EC), sodium adsorption ratio (SAR), and pH as proxies of salt incorporation with respect to depth in the soil profiles and with distance from the playa. I use two different approaches to determine whether salts measured in soils are derived from playa dust: arsenic (As) and ionic ratios of sodium (Na), lithium (Li), and calcium (Ca) to other major soil cations; and Sr isotopic ratios of 87Sr/86Sr. These are the first data to document the fate of Owens Lake playa dust in surrounding alluvial soils. Results indicate that playa dust is the source of salt levels found in soils more than 20 km away. More importantly, soils in direct proximity of the playa show a significant impact from playa-derived salt input. Based on extremely elevated salt levels in soils on the playa side of the nearby Alabama Hills, topography and variable wind-flow directions have important effects on sites downwind of dust sources; and these factors may be more important than mere distance from the playa in influencing the impact of salt-rich dust on soils along the Sierra Nevada alluvial piedmont. An evaluation of the severity of the impact of the playa dust on soils is a critical step toward assessing management decisions related to Owens Lake playa as well as many other lake basins that are rapidly desiccating under human influence.",Alabama,-86.902298,32.3182314,5
