bibNumber,title,callNumber,Counts,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
2614683,"Nothing to envy ordinary lives in North Korea","306.09519 D3952N 2010",1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,39,31,36,32,38,31,26,24,26,25,27,28,34,22,11,17,12,20,13,16,13,25,19,23,22,27,22,18,21,17,10,19,19,17,22,28,9,28,25,19,13,17,21,19,22,24,24,23,19,21,7,19,18,15,8,12,10,16,19,12,18,11,9,8,12,7,6,9,8,7,5,6,7,4,4,11,4,6,2,4,2,5,4,5,9,6,5,9,11,6,9,10,9,8
2742276,"Escape from Camp 14 one mans remarkable odyssey from North Korea to freedom in the West","365.45092 Sh631H 2012",1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,48,47,44,42,52,38,54,38,27,25,48,44,30,44,36,30,30,11,21,30,18,18,14,14,13,24,10,6,13,14,12,20,9,9,9,2,9,6,7,3,7,5,7,9,3,4,2,3,3,5,7,5,5,3,5,3,4,3,4,7,8,3,6,10,8,4,2
3014918,"Without you there is no us my time with the sons of North Koreas elite","818.603 K5607K 2014",650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,20,44,41,43,46,42,28,22,17,12,14,24,9,14,17,17,14,7,12,30,19,10,10,4,6,7,5,5,13,5,14,9,9,22,10,6,6
2406484,"Inside North Korea","DVD 951.9304 In723 2007",458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,6,6,6,7,10,14,7,12,6,9,8,12,11,8,8,7,9,8,8,8,8,10,8,10,9,6,5,2,6,5,9,8,6,7,5,5,4,4,8,6,2,2,6,4,6,7,2,4,4,2,4,2,4,1,3,3,1,3,3,1,2,1,1,4,1,2,3,1,1,3,3,2,2,4,2,1,0,1,2,1,1,2,1,3,1,2,0,1,3,2,1,1,1,2,1,1,2,1,3,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390945,"North Korea a day in the life","DVD 951.93043 N81184 2005",394,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,7,9,11,6,9,10,6,8,6,10,9,7,9,9,4,8,4,4,5,7,7,9,7,11,10,7,9,6,5,4,7,7,7,6,8,9,5,6,7,4,6,2,4,3,2,6,4,3,4,2,3,3,4,2,4,3,3,3,4,3,2,1,0,1,2,2,1,1,1,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2313194,"Pyongyang a journey in North Korea","741.5944 D3796P 2005",299,4,5,3,3,2,5,7,3,1,8,5,2,1,2,5,4,2,3,4,4,3,1,5,3,3,5,4,3,3,3,4,1,5,1,2,4,6,3,5,5,5,2,2,5,4,3,4,2,3,2,4,2,2,3,4,5,3,2,2,2,1,4,0,6,1,1,1,2,5,2,3,2,5,4,5,4,2,2,4,3,3,4,3,2,3,2,3,2,1,3,1,2,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109244,"girl with seven names a North Korean defectors story","951.93051 L5128L 2015",260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,6,10,9,8,10,8,9,10,8,8,11,17,10,11,7,9,3,9,4,10,8,7,4,9,7,10,10
2648073,"Somewhere inside one sisters captivity in North Korea and the others fight to bring her home","365.45092 L6463L 2010",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,15,13,11,11,13,7,8,5,7,3,4,2,3,6,5,4,3,0,0,2,3,1,1,1,2,0,1,1,0,0,1,3,1,0,2,0,1,2,0,3,3,2,1,1,1,1,2,1,0,2,0,2,2,1,0,0,0,1,0,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0
2980269,"Pyongyang a journey in North Korea","741.5944 D3796P 2007",189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,4,5,5,4,5,7,7,8,6,8,7,4,5,4,5,3,5,2,3,2,1,5,4,1,4,3,5,3,3,2,2,1,4,4,4,3,4,2,4,4,2,5,1
2062739,"aquariums of Pyongyang ten years in a North Korean gulag","365.45092 K1318A 2001",187,0,1,1,2,0,1,0,3,2,0,2,0,1,0,0,1,0,1,1,0,2,1,1,0,1,0,0,0,1,0,1,2,0,2,1,0,0,0,1,1,0,4,2,2,2,1,3,0,2,2,1,0,5,0,1,2,3,2,4,3,4,1,0,2,3,0,1,2,1,0,1,1,3,1,0,1,2,4,1,3,0,1,2,1,3,2,2,2,2,3,3,2,2,1,3,2,3,1,0,3,2,2,2,2,2,3,2,2,1,2,0,2,1,2,1,1,0,0,1,1,1,0,2,1,0,1,0,1,0,1,1,1,1,1,2,1,0,0,0,1,2,2,1,0
2792833,"Escape from Camp 14 one mans remarkable odyssey from North Korea to freedom in the west","CD 365.45092 Sh631H 2012",179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,7,9,4,7,4,4,4,4,10,6,5,1,7,5,2,6,1,3,2,2,5,1,1,1,2,3,2,4,2,2,6,2,2,2,3,3,1,2,1,2,1,3,0,0,1,0,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
2657113,"Nothing to envy ordinary lives in North Korea","CD 306.09519 D3952N 2010",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,3,3,2,4,3,3,4,2,4,4,3,4,3,2,2,2,3,2,2,1,3,1,2,1,0,2,2,3,1,0,3,4,4,0,1,1,0,3,1,0,1,2,1,0,2,1,0,1,2,0,1,1,3,4,3,5,1,1,3,2,2,1,1,2,0,1,1,3,0,1,1,0,3,3,1,3,1,1,1,1,0,1,0,1,0,1,2
