bibNumber,title,callNumber,Counts,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
2574289,"Barack Obama","DVD 973.93209 Ob1B 2009",524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,22,16,15,16,14,11,13,13,14,9,13,14,6,13,8,9,9,9,12,4,9,2,2,5,6,8,8,4,8,4,3,6,8,8,4,7,4,6,4,6,5,4,7,6,4,6,2,5,5,3,4,4,3,4,2,3,6,2,3,3,3,1,3,2,0,1,0,4,3,4,0,0,0,1,2,0,2,4,4,3,1,1,0,0,0,1,0,1,2,0,1,1,2,1,0,1,1,1,0,1,0,2
2512209,"Barack Obama","DVD 973.0496 Ob1B 2008",437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,20,12,13,21,19,23,12,12,15,15,13,10,14,16,7,12,9,10,9,4,8,6,11,3,6,7,4,4,3,3,4,3,3,3,1,1,2,1,2,2,2,3,3,6,2,2,1,3,0,2,2,3,4,2,1,0,1,1,1,0,0,0,2,0,1,1,1,2,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2991354,"Barack Obama","JB Ob1G 2014",254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,8,9,3,9,11,5,5,7,5,6,5,4,5,5,7,9,13,6,6,9,5,6,6,7,5,8,3,8,1,8,5,5,2,9,1,3,4,3,3
2436195,"Barack Obama","DVD 973.0496 Ob1B 2005",229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,5,6,12,7,14,10,9,6,6,7,8,9,10,6,8,4,3,6,6,5,6,7,2,6,3,1,3,1,5,2,1,0,1,0,2,1,0,0,1,2,4,0,1,0,0,2,0,0,0,0,1,0,2,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2496250,"Barack Obama","J328.73092 Ob1F 2008",217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,5,6,6,6,5,11,7,3,6,4,5,3,2,4,4,2,3,3,2,1,2,2,1,1,0,1,1,0,3,2,2,1,2,0,1,0,1,1,2,2,1,2,1,4,1,1,2,1,2,1,2,3,3,5,2,1,1,0,4,1,1,2,0,3,2,2,0,1,2,1,2,0,5,0,0,1,1,1,1,1,0,0,0,0,1,1,2,0,0,2,1,0,1,0,1,3,0,0,0,0,0,2,2,1,0,0,0,1,0,1,0,0
473724,"Trump the art of the deal","333.33092 T772A",148,0,5,2,2,1,2,3,2,2,2,3,2,0,2,5,1,1,2,1,3,3,0,2,0,2,1,1,4,0,3,1,4,2,3,1,1,2,1,1,2,1,2,2,0,1,0,1,0,2,1,0,1,1,0,0,1,2,0,1,1,0,2,2,0,2,1,0,3,1,0,1,1,1,1,0,2,0,0,0,0,2,1,1,0,0,3,2,0,3,1,0,2,2,0,0,0,3,0,2,1,1,1,1,1,1,0,1,0,2,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2867019,"Barack Obama","JB Ob1M 2013",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,3,1,2,0,2,3,0,6,3,1,0,0,0,2,0,1,2,4,1,7,11,3,1,3,2,1,6,1,2,2,2,4,6,3,3,5,3,2,2,3,4,1,5,6,2,2,0,2,2,1,3,0,1,0,3
2653798,"Barack Obama","JB Ob1K 2010",140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,3,3,4,4,2,6,5,3,3,2,1,2,1,1,2,4,2,3,2,2,3,2,2,2,1,2,2,2,2,4,5,2,1,3,1,2,0,1,2,0,0,4,2,2,2,0,2,1,0,0,0,1,1,0,0,1,1,0,2,0,0,1,2,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
2575184,"Barack Obama","JB Ob1W 2009",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,4,2,0,5,2,1,3,1,2,1,2,1,0,0,1,3,5,1,1,1,0,2,0,0,0,1,1,1,2,3,2,1,2,3,0,1,2,1,0,1,3,2,1,2,0,0,0,0,0,1,2,4,4,0,1,1,0,1,0,0,0,2,1,3,3,2,0,1,1,0,0,0,1,0,0,3,2,0,3,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
3125483,"Trump the art of the deal","333.33092 T772T 2005",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,6,9,6,9,4,3,6,6,5,4,5,8,0,2,1,2,2,0,0,0,0,0,0
