Elements,Times,Dates,Deweys,Titles
"Fishing boats Fires and fire prevention",15:14:00,2006-01-02,623,"Safety survival at sea videotape series"
"Klondike Gold Rush National Historical Park Alaska and Wash",15:31:00,2006-01-02,917,"great parks of Alaska"
"San Francisco Earthquake and Fire Calif 1906",15:44:00,2006-01-03,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",15:50:00,2006-01-03,979,"crack in the edge of the world America and the great California earthquake of 1906"
"California Gold discoveries",16:30:00,2006-01-03,979,"age of gold the California Gold Rush and the new American dream"
"California Gold discoveries Social aspects",16:30:00,2006-01-03,979,"age of gold the California Gold Rush and the new American dream"
"Great Fire Seattle Wash 1889",17:10:00,2006-01-03,979,"great Seattle fire of June 6th 1889 containing a succinct and complete account of the greatest conflagration on the Pacific Coast"
"Great Fire Seattle Wash 1889",17:10:00,2006-01-03,979,"day Seattle burned June 6 1989 i e 1889"
"Saline water conversion",19:24:00,2006-01-03,628,"Salt water purification"
"Saline water conversion Distillation process",19:24:00,2006-01-03,628,"Saline water distillation processes"
"Drinking water Handbooks manuals etc",19:25:00,2006-01-03,628,"drinking water handbook"
"Drinking water Contamination",19:25:00,2006-01-03,628,"Drinking water hazards how to know if there are toxic chemicals in your water and what to do if there are"
"Drinking water Purification",19:25:00,2006-01-03,628,"Drinking water hazards how to know if there are toxic chemicals in your water and what to do if there are"
"Drinking water Analysis",19:25:00,2006-01-03,628,"Drinking water hazards how to know if there are toxic chemicals in your water and what to do if there are"
"Drinking water Contamination United States",19:25:00,2006-01-03,628,"Dont drink the water without reading this book the essential guide to our contaminated drinking water and what you can do about it"
"Drinking water Purification United States",19:25:00,2006-01-03,628,"Dont drink the water without reading this book the essential guide to our contaminated drinking water and what you can do about it"
"White water canoing Safety measures",19:27:00,2006-01-03,797,"Whitewater self defense"
"Landscape gardening Water conservation Northwest Pacific",13:11:00,2006-01-04,635,"Beautiful and waterwise gardening for the Pacific Northwest"
"San Francisco Earthquake and Fire Calif 1906",14:28:00,2006-01-04,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",14:32:00,2006-01-04,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",18:35:00,2006-01-04,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Landscape gardening Water conservation Northwest Pacific",19:39:00,2006-01-04,635,"Beautiful and waterwise gardening for the Pacific Northwest"
