checkOutMonth,CheckoutCount,type
1970-01,1258,bk
2005-04,2,bk
2005-05,1,bk
2005-12,15,bk
2006-01,27,bk
2006-02,27,bk
2006-03,33,bk
2006-04,14,bk
2006-05,50,bk
2006-06,26,bk
2006-07,21,bk
2006-08,27,bk
2006-09,21,bk
2006-10,52,bk
2006-11,128,bk
2006-12,113,bk
2007-01,153,bk
2007-02,206,bk
2007-03,355,bk
2007-04,272,bk
2007-05,228,bk
2007-06,311,bk
2007-07,289,bk
2007-08,259,bk
2007-09,127,bk
2007-10,104,bk
2007-11,128,bk
2007-12,190,bk
2008-01,334,bk
2008-02,328,bk
2008-03,333,bk
2008-04,367,bk
2008-05,330,bk
2008-06,345,bk
2008-07,333,bk
2008-08,407,bk
2008-09,506,bk
2008-10,585,bk
2008-11,555,bk
2008-12,560,bk
2009-01,806,bk
2009-02,820,bk
2009-03,804,bk
2009-04,707,bk
2009-05,605,bk
2009-06,559,bk
2009-07,439,bk
2009-08,449,bk
2009-09,320,bk
2009-10,401,bk
2009-11,384,bk
2009-12,358,bk
2010-01,346,bk
2010-02,497,bk
2010-03,456,bk
2010-04,488,bk
2010-05,582,bk
2010-06,601,bk
2010-07,535,bk
2010-08,452,bk
2010-09,336,bk
2010-10,513,bk
2010-11,462,bk
2010-12,446,bk
2011-01,471,bk
2011-02,448,bk
2011-03,426,bk
2011-04,311,bk
2011-05,284,bk
2011-06,316,bk
2011-07,255,bk
2011-08,188,bk
2011-09,150,bk
2011-10,186,bk
2011-11,166,bk
2011-12,163,bk
2012-01,184,bk
2012-02,236,bk
2012-03,230,bk
2012-04,229,bk
2012-05,215,bk
2012-06,235,bk
2012-07,238,bk
2012-08,185,bk
2012-09,293,bk
2012-10,356,bk
2012-11,347,bk
2012-12,315,bk
2013-01,309,bk
2013-02,290,bk
2013-03,240,bk
2013-04,180,bk
2013-05,176,bk
2013-06,189,bk
2013-07,184,bk
2013-08,155,bk
2013-09,146,bk
2013-10,163,bk
2013-11,179,bk
2013-12,169,bk
2014-01,215,bk
2014-02,221,bk
2014-03,168,bk
2014-04,142,bk
2014-05,143,bk
2014-06,112,bk
2014-07,121,bk
2014-08,117,bk
2014-09,123,bk
2014-10,105,bk
2014-11,65,bk
2014-12,80,bk
2015-01,36,bk
