checkOutMonth,CheckoutCount,type
1970-01,178,cd
2006-07,2,cd
2006-09,4,cd
2006-10,5,cd
2006-11,2,cd
2007-02,20,cd
2007-03,44,cd
2007-04,46,cd
2007-05,67,cd
2007-06,70,cd
2007-07,58,cd
2007-08,59,cd
2007-09,48,cd
2007-10,42,cd
2007-11,42,cd
2007-12,59,cd
2008-01,56,cd
2008-02,66,cd
2008-03,80,cd
2008-04,133,cd
2008-05,95,cd
2008-06,87,cd
2008-07,123,cd
2008-08,131,cd
2008-09,116,cd
2008-10,95,cd
2008-11,100,cd
2008-12,113,cd
2009-01,203,cd
2009-02,190,cd
2009-03,172,cd
2009-04,190,cd
2009-05,180,cd
2009-06,150,cd
2009-07,115,cd
2009-08,82,cd
2009-09,84,cd
2009-10,78,cd
2009-11,49,cd
2009-12,95,cd
2010-01,67,cd
2010-02,66,cd
2010-03,51,cd
2010-04,78,cd
2010-05,78,cd
2010-06,105,cd
2010-07,77,cd
2010-08,112,cd
2010-09,68,cd
2010-10,81,cd
2010-11,75,cd
2010-12,89,cd
2011-01,84,cd
2011-02,68,cd
2011-03,72,cd
2011-04,39,cd
2011-05,49,cd
2011-06,46,cd
2011-07,35,cd
2011-08,25,cd
2011-09,23,cd
2011-10,16,cd
2011-11,17,cd
2011-12,18,cd
2012-01,12,cd
2012-02,18,cd
2012-03,25,cd
2012-04,24,cd
2012-05,31,cd
2012-06,31,cd
2012-07,41,cd
2012-08,32,cd
2012-09,32,cd
2012-10,33,cd
2012-11,33,cd
2012-12,26,cd
2013-01,30,cd
2013-02,28,cd
2013-03,19,cd
2013-04,21,cd
2013-05,22,cd
2013-06,14,cd
2013-07,17,cd
2013-08,22,cd
2013-09,11,cd
2013-10,23,cd
2013-11,23,cd
2013-12,19,cd
2014-01,25,cd
2014-02,25,cd
2014-03,18,cd
2014-04,22,cd
2014-05,15,cd
2014-06,13,cd
2014-07,11,cd
2014-08,17,cd
2014-09,14,cd
2014-10,15,cd
2014-11,8,cd
2014-12,4,cd
2015-01,3,cd
