checkOutMonth,CheckoutCount,type
1970-01,97,dvd
2007-06,9,dvd
2007-07,10,dvd
2007-08,12,dvd
2007-09,4,dvd
2007-10,6,dvd
2007-11,11,dvd
2007-12,7,dvd
2008-01,21,dvd
2008-02,13,dvd
2008-03,12,dvd
2008-04,12,dvd
2008-05,6,dvd
2008-06,42,dvd
2008-07,26,dvd
2008-08,94,dvd
2008-09,71,dvd
2008-10,62,dvd
2008-11,65,dvd
2008-12,71,dvd
2009-01,86,dvd
2009-02,70,dvd
2009-03,123,dvd
2009-04,177,dvd
2009-05,132,dvd
2009-06,93,dvd
2009-07,102,dvd
2009-08,89,dvd
2009-09,74,dvd
2009-10,87,dvd
2009-11,77,dvd
2009-12,63,dvd
2010-01,88,dvd
2010-02,62,dvd
2010-03,110,dvd
2010-04,87,dvd
2010-05,61,dvd
2010-06,63,dvd
2010-07,83,dvd
2010-08,91,dvd
2010-09,79,dvd
2010-10,57,dvd
2010-11,75,dvd
2010-12,70,dvd
2011-01,100,dvd
2011-02,70,dvd
2011-03,65,dvd
2011-04,44,dvd
2011-05,45,dvd
2011-06,44,dvd
2011-07,40,dvd
2011-08,36,dvd
2011-09,42,dvd
2011-10,48,dvd
2011-11,37,dvd
2011-12,36,dvd
2012-01,42,dvd
2012-02,51,dvd
2012-03,53,dvd
2012-04,28,dvd
2012-05,43,dvd
2012-06,49,dvd
2012-07,30,dvd
2012-08,30,dvd
2012-09,48,dvd
2012-10,44,dvd
2012-11,88,dvd
2012-12,58,dvd
2013-01,67,dvd
2013-02,69,dvd
2013-03,50,dvd
2013-04,50,dvd
2013-05,40,dvd
2013-06,48,dvd
2013-07,50,dvd
2013-08,61,dvd
2013-09,33,dvd
2013-10,42,dvd
2013-11,34,dvd
2013-12,28,dvd
2014-01,28,dvd
2014-02,39,dvd
2014-03,47,dvd
2014-04,28,dvd
2014-05,30,dvd
2014-06,22,dvd
2014-07,33,dvd
2014-08,24,dvd
2014-09,24,dvd
2014-10,17,dvd
2014-11,18,dvd
2014-12,15,dvd
2015-01,4,dvd
