Elements,Times,Dates,Counts,Titles
Gold,10:56:00,2006-07-25,452,"10 days that unexpectedly changed America"
fire,15:54:00,2014-09-08,34,"100 essays I dont have time to write on umbrellas and sword fights parades and dogs fire alarms children and theater"
Gold,17:01:00,2013-07-28,7,"10000 gold why golds inevitable rise is the investors safe haven"
Wood,11:28:00,2006-01-14,12,"1001 advertising cuts from the twenties and thirties"
Wood,18:01:00,2005-03-15,3,"1001 designs for whittling and woodcarving"
fire,15:41:00,2009-08-03,14,"12 at war great photographers under fire"
gold,18:39:00,2005-12-07,50,"12 gold master series Volume one"
wood,13:27:00,2012-01-29,6,"125 wood clock patterns"
fire,12:19:00,2005-10-08,59,"13th element the sordid tale of murder fire and phosphorus"
Wood,18:18:00,2005-05-11,7,"1800 woodcuts by Thomas Bewick and his school"
Water,14:34:00,2005-08-08,8,"1980s Earthsong"
Fire,11:39:00,2006-07-31,2,"1997 Seattle fire code ordinance 119124 effective September 27 1998"
Fire,18:04:00,2005-12-28,192,"2 heavyweight another Blood Fire sampler"
wood,17:12:00,2006-01-23,11,"20 wood projects for under 50"
Gold,16:37:00,2010-11-09,4,"200 trails to gold a guide to promising old mines and hidden lodes throughout the West"
fire,18:02:00,2008-12-09,7,"2000 insults for all occasions a caravan of capsule caricatures lethal laugh lines merry mayhem rapid fire repartee roguish ribs salty slayings and sizzling squelches"
Fire,18:03:00,2005-11-22,9,"2003 Seattle fire code ordinance 121524 effective August 15 2004"
Fire,15:12:00,2008-04-16,9,"2006 Seattle fire code ordinance 122491 effective October 21 2007"
Fire,18:15:00,2012-01-03,5,"2009 Seattle fire code 2009 international fire code as amended by the city of Seattle"
Fire,17:30:00,2014-07-02,1,"2012 Seattle fire code"
gold,19:30:00,2006-01-02,39,"22 gold"
fire,15:54:00,2013-09-18,38,"23 years on fire"
fire,15:54:00,2013-09-18,38,"23 years on fire a Cassandra Kresnov novel"
gold,17:52:00,2014-10-20,109,"24 karat gold songs from the vault"
Gold,09:17:00,2007-05-11,32,"25 questions for a Jewish mother"
