Dewey,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12
0,1535,1987,2374,1605,1229,2086,2040,2307,1895,2420,2183,1903
10,84,95,97,85,64,102,108,106,83,92,88,77
20,223,265,294,200,144,222,223,281,228,271,233,207
30,146,181,213,182,143,158,183,185,155,253,216,180
50,21,19,20,23,4,26,25,34,10,21,21,28
60,18,13,23,16,13,22,16,23,24,19,21,19
70,288,344,450,332,269,428,453,542,386,523,440,412
80,106,129,155,122,80,132,143,168,103,148,148,141
90,4,4,4,1,0,2,1,4,3,1,3,2
100,37,42,46,46,19,42,37,67,62,53,48,35
110,49,49,64,42,21,56,58,55,43,51,39,47
120,143,140,190,135,100,151,166,161,139,150,152,149
130,918,1065,1267,918,699,1093,1170,1315,956,1226,1068,999
140,19,36,34,24,24,31,28,30,27,38,26,24
150,2328,2738,3486,2518,1945,3117,3164,3459,2795,3163,3076,2698
160,17,15,16,13,14,17,22,19,12,17,18,14
170,363,451,573,381,291,482,515,549,427,539,538,479
180,88,126,145,107,59,123,134,136,79,131,143,112
190,117,143,174,138,106,159,151,189,139,164,175,138
200,241,311,392,289,267,429,384,445,361,421,405,375
210,56,44,45,47,43,64,67,87,72,82,110,136
220,310,395,540,416,336,497,483,565,423,547,540,490
230,285,361,471,343,275,455,439,472,444,453,493,468
240,450,554,728,453,390,617,575,698,488,676,673,580
250,23,32,39,35,23,43,33,24,34,29,38,28
260,148,213,257,166,127,211,229,257,204,219,209,190
270,171,256,271,232,176,239,256,235,236,309,301,310
280,185,201,256,190,141,254,241,236,196,257,250,201
290,1965,2635,3379,2356,1730,2644,2687,2952,2592,2893,2958,2506
300,3447,4542,5838,4157,3295,5221,5253,5692,4365,5316,5152,4364
310,8,10,13,9,7,10,10,3,7,11,11,13
320,1172,1565,1753,1316,983,1661,1570,1852,1370,1741,1774,1605
330,2410,3027,4134,2940,2387,3779,3635,3983,2953,3451,3443,3078
340,639,838,957,714,517,800,845,930,689,854,869,824
350,473,637,732,527,374,618,568,634,446,601,562,527
360,2533,3062,4070,2973,2406,3359,3727,3997,2923,3841,3936,3345
370,1322,1867,2154,1543,1178,1986,2014,2264,2119,2175,2119,1822
380,546,710,1001,714,503,951,837,865,731,819,816,680
390,4171,5086,6060,3898,2921,4930,5495,5559,4436,5996,5765,4446
400,33,44,45,45,45,60,49,48,53,43,42,34
410,187,297,343,204,171,312,319,397,302,321,358,309
420,959,1317,1419,1025,805,1312,1372,1487,1107,1306,1264,1113
430,123,166,197,137,104,169,169,150,136,157,150,112
440,256,321,395,331,239,390,364,386,290,343,288,287
450,100,144,175,107,88,141,131,148,116,117,119,90
460,330,441,556,410,305,493,543,587,502,595,574,484
470,9,22,19,13,8,19,10,17,16,14,20,11
480,13,15,13,13,11,17,19,12,23,15,18,12
490,498,598,725,567,398,655,708,758,580,683,537,538
500,570,716,938,697,446,693,758,793,667,743,739,644
510,750,1056,1304,852,671,1086,1221,1173,983,1090,1141,987
520,751,965,1136,826,753,945,992,1051,883,986,1002,858
530,512,615,673,507,395,562,625,613,463,588,624,535
540,172,209,266,178,100,149,180,187,154,197,193,190
550,727,914,1187,845,663,979,1026,1001,874,1016,1177,929
560,557,755,973,645,434,784,733,789,599,632,658,536
570,782,1087,1363,974,770,1134,1099,1171,1010,1167,1277,924
580,291,346,495,414,310,450,455,435,453,454,359,201
590,3540,4564,6272,5108,3815,5755,5575,5208,4256,5284,4870,3832
600,156,223,257,160,139,200,251,270,171,285,260,220
610,6459,8099,10325,7473,5723,8731,9122,9717,7901,9400,8830,7650
620,2002,2516,3083,2305,1760,2638,2685,2984,2414,2828,2681,2290
630,2324,3467,4536,3535,2490,3721,3812,4153,3242,3564,2991,2419
640,7124,8857,11076,8002,6038,9740,10020,10920,9030,10514,10069,8670
650,2154,2693,3319,2246,1729,2811,2934,2902,2459,2892,2594,2321
660,139,151,204,147,107,173,185,167,160,212,199,174
670,102,108,121,75,50,85,76,90,74,90,93,94
680,521,663,862,521,371,598,581,648,562,636,542,520
690,781,982,1217,882,714,1067,1007,1143,920,989,961,800
700,1043,1357,1592,1105,919,1289,1197,1264,1019,1343,1390,1100
710,496,718,972,803,598,800,770,862,643,635,538,384
720,1115,1320,1650,1171,866,1423,1355,1522,1270,1548,1422,1312
730,583,770,839,537,408,612,731,721,638,781,712,620
740,12701,17102,20889,15446,11310,20307,21406,23559,17696,21777,20822,18734
750,1128,1438,1747,1307,882,1389,1564,1480,1268,1424,1421,1222
760,173,207,243,141,122,206,231,212,186,195,207,203
770,921,954,1229,849,640,962,1041,1187,884,1144,1012,963
780,54567,69975,87525,66428,50601,82970,82831,93687,77365,90369,86602,77146
790,6578,8515,10660,7791,5946,9926,10498,10998,8429,9541,9484,8454
800,1028,1204,1514,1137,833,1269,1238,1397,1084,1428,1290,1144
810,3748,4653,5656,4690,3042,4544,4564,4925,4088,5143,4551,4098
820,1297,1788,1981,1525,1013,1676,1736,1727,1328,1594,1423,1267
830,85,129,149,116,115,142,115,139,130,117,144,112
840,133,175,227,142,123,188,213,195,150,193,145,199
850,55,43,85,39,26,56,68,74,43,58,60,48
860,287,392,482,378,302,442,424,470,394,455,492,459
870,60,18,26,11,11,41,27,27,35,26,29,62
880,85,127,148,83,67,98,101,153,108,131,97,106
890,2553,3823,4591,3457,2474,3989,4333,4613,3285,3492,3410,3298
900,482,597,604,462,362,516,523,575,447,534,534,501
910,6836,8601,10752,8073,6207,9425,9480,10069,7849,9067,8361,7488
920,243,354,410,278,228,340,369,430,321,393,344,262
930,868,1004,1337,864,646,726,815,788,786,1152,1115,994
940,2431,3273,3844,2972,2359,3199,3060,3354,2751,3193,3276,3009
950,1779,2142,2555,2004,1564,2364,2396,2735,2081,2504,2575,2226
960,360,479,566,370,403,442,413,381,331,528,502,406
970,4202,5389,6418,4809,3800,4997,5018,5369,4578,5931,6130,5066
980,155,245,257,182,158,226,178,200,185,214,214,223
990,105,119,148,113,88,110,90,133,106,169,123,128
