"year(cout)","month(cout)","deweyBin","Mexico","Ireland","Spain","Israel","Egypt","Vietnam","Germany","Russia","China","Cuba","Iraq","Japan"
2008,9,1,0,0,0,0,0,0,0,0,0,0,0,1
2009,6,1,0,0,0,0,0,0,0,0,0,0,0,1
2011,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,4,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,5,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,9,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,11,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,7,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2014,12,2,0,0,0,0,7,0,0,0,0,0,0,0
2015,1,2,0,0,0,0,5,0,0,0,0,0,0,0
2015,2,2,0,0,0,0,5,0,0,0,0,0,0,0
2015,3,2,0,0,0,0,4,0,0,0,0,0,0,0
2015,4,2,0,0,0,0,2,0,0,0,0,0,0,0
2015,5,2,0,0,0,0,3,0,0,0,0,0,0,0
2015,6,2,0,0,0,0,3,0,0,0,0,0,0,0
2015,7,2,0,0,0,0,2,0,0,0,0,0,0,0
2015,9,2,0,0,0,0,1,0,0,0,0,0,0,0
2015,10,2,0,0,0,0,1,0,0,0,0,0,0,0
2015,11,2,0,0,0,0,2,0,0,0,0,0,0,0
2016,1,2,0,0,0,0,2,0,0,0,0,0,0,0
2016,3,2,0,0,0,0,3,0,0,0,0,0,0,0
2016,6,2,0,0,0,0,1,0,0,0,0,0,0,0
2016,7,2,0,0,0,0,1,0,0,0,0,0,0,0
2016,11,2,0,0,0,0,1,0,0,0,0,0,0,0
2016,12,2,0,0,0,0,1,0,0,0,0,0,0,0
2006,11,4,0,0,0,0,0,0,1,0,0,0,0,0
2007,10,4,0,0,0,0,0,0,0,0,0,0,0,1
2008,4,4,0,0,0,0,0,0,1,0,0,0,0,0
2008,5,4,0,0,0,0,0,0,2,0,0,0,0,0
2008,6,4,0,0,0,0,0,0,1,0,0,0,0,0
2008,7,4,0,0,0,0,0,0,1,0,0,0,0,0
2008,8,4,0,0,0,0,0,0,1,0,0,0,0,0
2008,12,4,0,0,0,0,0,0,1,0,0,0,0,0
2009,5,4,0,0,0,0,0,0,1,0,0,0,0,0
2009,7,4,0,0,0,0,0,0,1,0,0,0,0,0
2009,11,4,0,0,0,0,0,0,1,0,0,0,0,0
2010,6,4,0,0,0,0,0,0,1,0,0,0,0,0
2010,12,4,0,0,0,0,0,0,1,0,0,0,0,0
2011,4,4,0,0,0,0,0,0,1,0,0,0,0,0
2006,6,6,0,0,0,0,0,0,0,0,0,0,0,1
2008,2,6,0,0,0,0,0,0,0,0,0,0,0,1
2008,3,6,0,0,0,0,0,0,0,0,0,0,0,1
2008,4,6,0,0,0,0,0,0,0,0,0,0,0,1
2007,4,10,0,1,0,0,0,0,0,0,0,0,0,0
2010,10,10,0,1,0,0,0,0,0,0,0,0,0,0
2006,10,11,0,0,1,0,0,0,0,0,0,0,0,0
2006,11,11,0,0,1,0,0,0,0,0,0,0,0,0
2007,12,11,0,0,1,0,0,0,0,0,0,0,0,0
2013,2,11,0,0,1,0,0,0,0,0,0,0,0,0
2013,9,11,0,0,1,0,0,0,0,0,0,0,0,0
2014,9,11,0,0,1,0,0,0,0,0,0,0,0,0
2015,7,11,0,0,1,0,0,0,0,0,0,0,0,0
2015,9,11,0,0,1,0,0,0,0,0,0,0,0,0
2015,12,11,0,0,1,0,0,0,0,0,0,0,0,0
2016,3,11,0,0,1,0,0,0,0,0,0,0,0,0
2006,1,15,0,0,0,0,1,0,0,0,0,0,0,0
2006,5,15,0,0,0,0,0,0,0,0,1,0,0,0
2006,9,15,0,0,0,0,0,0,0,0,0,0,0,1
2008,8,15,0,0,0,0,0,0,0,0,0,0,0,1
2008,10,15,0,0,0,0,0,0,0,0,0,0,0,1
2010,4,15,0,0,0,0,0,0,0,0,1,0,0,0
2011,5,15,0,0,0,0,0,0,0,0,0,0,0,1
2011,9,15,0,0,0,0,0,0,0,0,1,0,0,0
2012,9,15,0,0,0,0,0,0,0,0,0,0,0,1
2012,11,15,0,0,0,0,0,0,0,0,0,0,0,1
2013,2,15,0,0,0,0,0,0,0,0,0,0,0,1
2016,10,15,0,0,0,0,0,0,0,0,1,0,0,0
2006,1,16,0,0,0,0,0,0,0,2,0,0,0,0
2007,4,16,0,1,0,0,0,0,0,0,0,0,0,0
2007,5,16,0,0,0,0,0,0,0,0,0,0,0,1
2007,11,16,0,2,0,0,0,0,0,0,0,0,0,0
2007,12,16,0,1,0,0,0,0,0,0,0,0,0,0
2008,3,16,0,1,0,0,0,0,0,0,0,0,0,0
