"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"B Se687","Golden inches the China memoir of Grace Service",1,3,1,3,1,6,2,2,4
2006,2,"B AL101S 2003","Mayada daughter of Iraq one womans survival under Saddam Hussein",1,6,0,1,2,12,1,2,6
2006,3,"B P2751F 2004","St Patrick of Ireland a biography",2,13,3,0,1,17,4,2,8
2006,4,"B B6194B 2001","Beyond the stone arches an American missionary doctor in China 1892 1932",1,0,1,1,3,20,3,0,2
2006,5,"B N298T","Nefertiti Egypts sun queen",0,0,2,0,1,12,1,0,6
2006,6,"B Se313","On Gold Mountain the 100 year odyssey of a Chinese American family",2,6,0,1,1,23,4,1,5
2006,7,"B K8364S 2001","Dragonhead the true story of the godfather of Chinese crime his rise and fall",2,3,5,5,2,24,1,2,2
2006,8,"B N298T","Nefertiti Egypts sun queen",0,3,5,3,1,18,5,1,4
2006,9,"B H6151B 2000","Hirohito and the making of modern Japan",0,0,4,1,1,17,1,1,2
2006,10,"B D6327H 2006","Disraeli the Victorian Dandy who became prime minister",1,1,6,4,3,17,2,1,4
2006,11,"B W8464W 1989","Fifth Chinese daughter",0,4,3,4,2,13,3,0,5
2006,12,"B C4307L 2006","Madame Chiang Kai Shek Chinas eternal first lady",2,2,5,2,1,18,2,0,4
2007,1,"B D459W","De Shazer the Doolittle raider who turned missionary a true and thrilling story of how the practical demonstration of the law of love is bringing international understanding and the spirit of Christ to Japan",1,2,2,1,1,9,1,1,3
2007,2,"B D2987","Walled gardens scenes from an Anglo Irish childhood",2,5,1,2,0,12,2,2,3
2007,3,"B C4306F 2004","Chiang Kai shek Chinas generalissimo and the nation he lost",2,10,1,6,0,22,5,0,5
2007,4,"B M2677L","Falling leaves the true story of an unwanted Chinese daughter Luo ye gui gen",1,3,1,3,0,12,5,3,7
2007,5,"B T999S","Dragon lady the life and legend of the last empress of China",2,0,2,1,0,16,1,0,4
2007,6,"B W846","Fifth Chinese daughter",0,2,5,1,1,17,3,0,3
2007,7,"B T189C 2002","Cuba diaries an American housewife in Havana",0,1,4,4,1,16,2,2,2
2007,8,"B Es64A","Minor heresies major departures a China mission boyhood",2,4,1,2,4,25,6,1,5
2007,9,"B C196M 2002","Empress of Farewells the story of Charlotte Empress of Mexico",3,5,1,1,2,15,3,3,3
2007,10,"B T189C 2002","Cuba diaries an American housewife in Havana",0,2,1,2,1,11,1,1,1
2007,11,"B Om13C 2003","Granuaile Irelands Pirate Queen c 1530 1603",6,5,1,1,2,18,0,1,1
2007,12,"B P2751F 2004","St Patrick of Ireland a biography",1,1,1,0,6,21,3,2,5
2008,1,"B F833F 2007","Revolution of hope the life faith and dreams of a Mexican president",8,2,1,3,4,17,4,2,4
2008,2,"B L5106","Chinese playground a memoir",5,3,2,1,1,23,1,1,4
2008,3,"B Se543","autobiography of Federico Sanchez and the Communist underground in Spain",2,4,9,7,1,21,2,0,4
2008,4,"B D632BL","Disraeli",7,4,7,1,1,21,3,1,2
2008,5,"B C4307L 2006","Madame Chiang Kai Shek Chinas eternal first lady",3,2,5,3,2,27,1,0,4
2008,6,"B C4307L 2006","Madame Chiang Kai Shek Chinas eternal first lady",1,3,8,0,0,25,3,2,6
2008,7,"B N1388","Egypts destiny a personal statement",1,0,9,3,3,20,0,6,2
2008,8,"B Se313","On Gold Mountain the 100 year odyssey of a Chinese American family",1,2,5,2,2,38,1,6,7
2008,9,"B C594T 2008","Cleopatra last queen of Egypt",0,5,2,2,9,20,2,4,4
2008,10,"B Se313","On Gold Mountain the 100 year odyssey of a Chinese American family",2,6,10,6,11,20,1,4,2
2008,11,"B L5106","Chinese playground a memoir",0,2,4,5,8,23,3,2,5
