"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"CD FIC DAI","Balzac and the little Chinese seamstress",1,0,0,0,7,5,1,0,0
2006,2,"CD FIC DAI","Balzac and the little Chinese seamstress",2,0,0,0,7,15,1,0,0
2006,3,"CD FIC PHILLIP","Egyptologist",1,0,0,0,16,14,3,0,0
2006,4,"CD MYSTERY GILMAN","Mrs Pollifax on the China Station",1,3,0,0,9,13,0,0,0
2006,5,"CD FIC EDGERTO","Walking across Egypt",1,1,0,0,6,9,1,0,0
2006,6,"CD FIC EDGERTO","Walking across Egypt",0,4,0,0,13,15,3,0,0
2006,7,"CD FIC BALL","China run",2,2,0,0,12,20,1,0,0
2006,8,"CD MYSTERY GILMAN","Mrs Pollifax on the China Station",4,2,0,0,12,12,1,0,0
2006,9,"CD FIC LEONARD","Cuba libre",4,0,0,0,8,9,2,0,0
2006,10,"CD FIC RICE","Christ the Lord out of Egypt a novel",2,2,0,0,14,14,1,0,0
2006,11,"CD FIC PHILLIP","Egyptologist",2,2,0,0,11,12,1,0,0
2006,12,"CD FIC PHILLIP","Egyptologist",3,2,0,0,6,10,2,0,0
2007,1,"CD FIC DAI","Balzac and the little Chinese seamstress",1,1,0,0,5,5,0,0,0
2007,2,"CD FIC EDGERTO","Walking across Egypt",2,2,0,0,3,3,1,0,0
2007,3,"CD FIC DAI","Balzac and the little Chinese seamstress",5,1,0,0,7,13,0,0,0
2007,4,"CD FIC EDGERTO","Walking across Egypt",5,2,0,0,7,7,1,0,0
2007,5,"CD FIC DAI","Balzac and the little Chinese seamstress",2,2,0,0,7,10,2,0,0
2007,6,"CD MYSTERY GILMAN","Mrs Pollifax on the China Station",4,3,0,0,10,7,1,0,0
2007,7,"CD FIC RICE","Christ the Lord out of Egypt a novel",3,3,0,0,11,11,2,0,0
2007,8,"CD FIC PHILLIP","Egyptologist",3,0,0,0,10,14,2,0,0
2007,9,"CD FIC PHILLIP","Egyptologist",1,3,0,0,5,11,0,0,0
2007,10,"CD FIC LEONARD","Cuba libre",1,1,0,0,6,9,2,0,0
