"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"DVD ONCE_UP","Once upon a time in Mexico",62,16,0,0,0,53,0,0,5
2006,2,"DVD J SAGWA","Sagwa the Chinese Siamese cat feline friends and family",64,14,0,0,0,76,0,0,19
2006,3,"DVD DAY WIT","day without a Mexican",101,27,0,0,0,100,0,0,14
2006,4,"DVD ONCE_UP","Once upon a time in Mexico",101,19,0,0,0,104,0,0,20
2006,5,"DVD CHINATO","Chinatown",65,20,0,0,0,84,0,0,18
2006,6,"DVD DAY WIT","day without a Mexican",125,31,0,0,0,127,0,0,25
2006,7,"DVD CHINA","China The panda adventure",109,28,0,0,0,133,0,0,28
2006,8,"DVD CHINESE","Chinese box",112,30,0,0,0,147,0,0,36
2006,9,"DVD DAY WIT","day without a Mexican",105,19,0,0,0,88,0,0,22
2006,10,"DVD J SAGWA","Sagwa the Chinese Siamese cat cat tales and celebrations",112,21,0,0,0,112,0,0,20
2006,11,"DVD KILLING","killing of a Chinese bookie",105,26,0,0,0,111,0,0,21
2006,12,"DVD IRISH_R Series_1, pt.2","Irish R M Series 1 volume two",93,24,0,0,0,92,0,0,12
2007,1,"DVD DAY WIT","day without a Mexican",28,11,0,0,0,32,0,0,8
2007,2,"DVD CHINESE","Chinese box",31,9,0,0,0,46,0,0,9
2007,3,"DVD J SAGWA","Sagwa the Chinese Siamese cat cat tales and celebrations",64,28,0,0,18,102,0,0,12
2007,4,"DVD CHINESE","Chinese box",63,24,1,0,25,107,0,0,19
2007,5,"DVD ONCE_UP","Once upon a time in Mexico",57,20,0,0,28,97,0,0,15
2007,6,"DVD J PRINCE","prince of Egypt",49,24,0,0,21,77,0,0,15
2007,7,"DVD BIG TRO","Big trouble in Little China",55,30,0,0,23,120,0,0,15
2007,8,"DVD IRISH_R Series_1, pt.1","Irish R M Series 1 volume one",52,23,0,0,23,113,0,0,22
2007,9,"DVD FRANK B","Frank Borzages China doll",58,31,0,0,27,111,0,0,22
2007,10,"DVD J PRINCE","prince of Egypt",36,16,0,0,17,74,0,0,9
2007,11,"DVD CHINA S","China syndrome",53,36,2,0,26,114,0,0,21
2007,12,"DVD CHINA S","China syndrome",60,33,1,0,26,125,0,0,22
2008,1,"DVD CHINA C","China cry",59,37,1,0,24,124,0,0,22
2008,2,"DVD IRISH R Season 3","Irish R M Series 3",47,34,0,0,28,114,0,0,15
2008,3,"DVD CHINA C","China cry",43,27,1,0,26,113,0,0,26
2008,4,"DVD CHARLIE","Charlie Chan in Egypt",39,31,1,0,16,97,0,0,14
2008,5,"DVD IRISH_R Series_1, pt.1","Irish R M Series 1 volume one",37,27,0,0,14,155,0,0,6
2008,6,"DVD IRISH R Season 3","Irish R M Series 3",40,32,1,0,17,124,0,0,15
2008,7,"DVD IRISH R Season 3","Irish R M Series 3",49,32,0,0,22,153,0,0,21
2008,8,"DVD CHINATO","Chinatown",42,37,0,0,24,162,0,0,21
2008,9,"DVD J MAGIC","magic paintbrush a story from China",65,26,0,0,21,121,0,0,14
2008,10,"DVD CHINA C","China cry",73,27,0,0,21,98,0,0,14
2008,11,"DVD KILLING","killing of a Chinese bookie",58,21,1,0,7,97,0,0,21
2008,12,"DVD IRISH R Season 2","Irish R M Series 2",56,28,1,0,9,108,0,0,23
2009,1,"DVD JAPANES","Japanese story",59,23,6,0,16,109,0,0,22
2009,2,"DVD CHINATO","Chinatown",35,26,10,0,14,86,0,0,16
2009,3,"DVD IRISH_R Series_1, pt.2","Irish R M Series 1 volume two",58,28,12,0,16,90,0,0,21
2009,4,"DVD CHARLIE","Charlie Chan in Egypt",62,19,16,0,10,72,0,0,16
2009,5,"DVD ONCE_UP","Once upon a time in Mexico",59,23,14,0,8,80,0,0,12
2009,6,"DVD J SCOOBY-","Scooby Doo and the monster of Mexico",68,22,12,0,16,81,0,0,15
2009,7,"DVD CHINATO","Chinatown",64,19,8,0,10,88,0,0,15
2009,8,"DVD AMEXICA","Amexicano",57,15,13,0,14,98,0,0,12
2009,9,"DVD J PRINCE","prince of Egypt",39,20,11,0,7,73,0,0,12
2009,10,"DVD J SAGWA","Sagwa the Chinese Siamese cat feline friends and family",49,24,14,0,18,102,0,0,17
2009,11,"DVD BIG TRO","Big trouble in Little China",63,22,15,0,15,97,0,0,20
2009,12,"DVD J SAGWA","Sagwa the Chinese Siamese cat feline friends and family",58,16,16,0,15,103,0,0,16
2010,1,"DVD IRISH_R Series_1, pt.2","Irish R M Series 1 volume two",57,23,16,0,11,98,0,0,15
2010,2,"DVD J NI HAO","Ni Hao Kai lan Kai lans great trip to China",44,16,18,0,11,80,0,0,10
2010,3,"DVD CHINA","China The panda adventure",53,20,16,0,15,101,0,0,13
2010,4,"DVD J SCOOBY-","Scooby Doo and the monster of Mexico",39,20,12,0,8,81,0,0,10
2010,5,"DVD CHINATO","Chinatown",41,22,20,0,10,86,0,0,9
2010,6,"DVD J NI HAO","Ni Hao Kai lan Kai lans great trip to China",44,25,18,0,11,90,0,0,13
2010,7,"DVD CHINA C","China cry",47,19,20,0,14,84,0,0,12
2010,8,"DVD CHINA","China The panda adventure",44,25,15,0,15,80,0,0,11
2010,9,"DVD SPANISH","Spanish prisoner",35,20,13,0,9,67,0,0,9
2010,10,"DVD CHINA","China The panda adventure",40,19,22,0,9,71,0,0,8
2010,11,"DVD AMEXICA","Amexicano",40,22,14,0,10,80,0,0,12
2010,12,"DVD FRANK B","Frank Borzages China doll",42,20,17,0,9,84,0,0,12
2011,1,"DVD CHINATO","Chinatown",33,17,14,0,8,74,0,0,8
2011,2,"DVD CHINATO","Chinatown",39,24,9,0,7,73,0,0,5
2011,3,"DVD IRISH_R Series_1, pt.1","Irish R M Series 1 volume one",35,20,9,0,5,79,0,0,10
2011,4,"DVD J NI HAO","Ni Hao Kai lan Kai lans great trip to China",36,13,18,0,11,76,0,0,6
2011,5,"DVD J PRINCE","prince of Egypt",40,23,12,0,11,73,0,0,6
2011,6,"DVD SPANISH","Spanish prisoner",35,35,11,0,7,79,0,0,7
2011,7,"DVD AMEXICA","Amexicano",28,50,8,0,8,55,0,0,9
2011,8,"DVD BIG TRO","Big trouble in Little China",34,67,7,0,10,53,0,0,6
2011,9,"DVD AMEXICA","Amexicano",29,66,8,0,5,50,0,0,6
2011,10,"DVD KILL TH","Kill the Irishman",28,65,10,0,7,43,0,0,4
2011,11,"DVD J SCOOBY-","Scooby Doo and the monster of Mexico",24,73,1,0,4,38,0,0,4
2011,12,"DVD KILL TH","Kill the Irishman",32,80,6,0,6,38,0,0,6
2012,1,"DVD KILL TH","Kill the Irishman",22,63,8,0,8,38,0,0,3
2012,2,"DVD J NI HAO","Ni Hao Kai lan Kai lans great trip to China",24,76,8,0,4,37,0,0,3
2012,3,"DVD AMEXICA","Amexicano",21,81,7,0,4,59,0,0,4
2012,4,"DVD JAPANES","Japanese story",21,62,8,0,3,56,0,0,6
2012,5,"DVD KILL TH","Kill the Irishman",25,57,9,0,7,57,0,0,6
2012,6,"DVD KILLING","killing of a Chinese bookie",17,48,10,0,5,35,0,0,3
2012,7,"DVD KILL TH","Kill the Irishman",16,55,12,0,5,52,0,0,4
