"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"E MANNIS","One leaf rides the wind counting in a Japanese garden",8,3,15,2,4,60,3,0,11
2006,2,"E MANNIS","One leaf rides the wind counting in a Japanese garden",9,8,28,0,4,68,5,0,15
2006,3,"E LEWIN","Big Jimmys Kum Kau Chinese take out",10,13,22,3,4,68,11,0,18
2006,4,"E LOOK","Uncle Peters amazing Chinese wedding",13,4,28,2,2,54,4,0,15
2006,5,"E MCCANN","Scooby Doo and the monster of Mexico",11,6,15,0,4,36,6,0,14
2006,6,"E TEJIMA","Ho limlim a rabbit tale from Japan",22,5,30,3,1,55,2,0,18
2006,7,"E YOUNG","Beyond the great mountains a visual poem about china",29,7,25,1,4,61,5,0,15
2006,8,"E LOOK","Uncle Peters amazing Chinese wedding",25,3,35,1,1,61,5,0,12
2006,9,"E LOOK","Uncle Peters amazing Chinese wedding",20,3,26,1,5,60,5,0,17
2006,10,"E ADA","Gathering the sun an alphabet in Spanish and English",25,12,25,1,6,64,5,0,24
2006,11,"E TUCKER","seven Chinese sisters",20,12,29,0,5,70,5,0,18
2006,12,"E YOUNG","Beyond the great mountains a visual poem about china",11,10,11,1,3,62,1,0,16
2007,1,"E MURPHY","Fergus and the Night Demon an Irish ghost story",6,6,7,1,0,33,1,0,5
2007,2,"E GEESLIN","On Ramons farm five tales of Mexico",9,7,13,5,2,47,4,0,5
2007,3,"E MAK","My Chinatown one year in poems",22,22,23,1,5,66,5,0,19
2007,4,"E TUCKER","seven Chinese sisters",21,13,26,1,3,72,5,0,20
2007,5,"E MANNIS","One leaf rides the wind counting in a Japanese garden",11,12,17,2,2,53,4,0,19
2007,6,"E LOOK","Uncle Peters amazing Chinese wedding",20,10,31,3,3,48,5,0,9
2007,7,"E MCMAHON","Just add one Chinese sister",13,15,33,2,5,83,2,0,11
2007,8,"E LOOMIS","Scuba bunnies",20,13,45,1,1,61,6,0,12
2007,9,"E KREBS","Were sailing down the Nile a journey through Egypt",15,14,41,0,14,63,3,0,20
2007,10,"E KREBS","Were sailing down the Nile a journey through Egypt",15,9,23,1,10,42,3,0,15
2007,11,"E KREBS","Were sailing down the Nile a journey through Egypt",16,12,29,0,10,70,3,0,15
2007,12,"E LEWIN","Big Jimmys Kum Kau Chinese take out",18,7,25,2,9,74,1,0,8
2008,1,"E ELYA","Fairy trails a story told in English and Spanish",16,12,34,2,9,95,5,0,17
2008,2,"E LEWIN","Big Jimmys Kum Kau Chinese take out",20,16,23,4,14,116,3,0,13
2008,3,"E CRANE","D is for dancing dragon a China alphabet",19,21,30,1,13,73,5,0,17
2008,4,"E KREBS","Were sailing down the Nile a journey through Egypt",16,10,26,2,16,64,5,0,11
2008,5,"E WALDMAN","never ending greenness we made Israel bloom",17,11,46,5,7,73,0,0,29
2008,6,"E DEMI","emperors new clothes a tale set in China",19,15,38,3,7,65,3,0,21
2008,7,"E KREBS","Were sailing down the Nile a journey through Egypt",22,7,41,3,11,79,4,0,12
2008,8,"E ADA","Gathering the sun an alphabet in Spanish and English",12,12,38,3,7,75,5,0,15
2008,9,"E YI","Good morning China",17,9,40,1,8,75,2,0,20
2008,10,"E MAK","My Chinatown one year in poems",23,9,42,2,18,78,6,0,14
2008,11,"E WALDMAN","never ending greenness we made Israel bloom",9,8,43,2,8,52,3,0,8
2008,12,"E PAUL","Count on Culebra go from 1 to 10 in Spanish",14,10,35,2,3,45,5,0,6
2009,1,"E MIRANDA","Alphabet fiesta an English Spanish alphabet story",17,8,53,2,8,128,6,0,17
2009,2,"E MORALES","Just in case a trickster tale and Spanish alphabet book",16,10,50,1,8,74,4,0,15
2009,3,"E YOUNG","Beyond the great mountains a visual poem about china",18,22,54,4,6,92,4,0,14
2009,4,"E BISHOP","five Chinese brothers",12,4,41,0,16,97,5,0,18
2009,5,"E MORALES","Just in case a trickster tale and Spanish alphabet book",14,7,44,2,13,86,3,0,10
2009,6,"E SOLLING","Diegos Egyptian expedition",19,7,41,3,13,80,6,0,16
2009,7,"E CLIMO","little red ant and the great big crumb a Mexican fable",15,7,50,0,16,105,7,0,12
