"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"FIC GREELEY1999","Irish mist a Nuala Anne McGrail novel",8,38,3,0,69,44,4,0,10
2006,2,"FIC BALL","China run",3,57,7,1,57,30,11,0,7
2006,3,"FIC EDGERTO","Walking across Egypt a novel",4,91,8,1,82,32,12,0,10
2006,4,"FIC GARCIA1993","Dreaming in Cuban a novel",1,51,6,1,66,22,4,0,7
2006,5,"FIC HUGHART","Bridge of birds a novel of an ancient China that never was",2,41,2,0,37,23,3,0,9
2006,6,"FIC RUTHERF2006","rebels of Ireland the Dublin saga",3,70,7,2,61,63,6,0,20
2006,7,"FIC RUTHERF2006","rebels of Ireland the Dublin saga",8,72,10,2,64,59,13,0,19
2006,8,"FIC DAI","Balzac and the little Chinese seamstress",4,82,12,2,55,67,18,0,23
2006,9,"FIC MALMONT2006","Chinatown death cloud peril",2,48,9,1,41,51,10,0,16
2006,10,"FIC DELANEY2005","Ireland a novel",1,37,8,2,46,52,10,0,17
2006,11,"FIC AT THE1998","At the edge of the world magical stories of Ireland",5,57,7,1,39,49,12,0,11
2006,12,"FIC CARRILL2004","Loosing my Espanish a novel",6,38,15,0,46,49,11,0,16
2007,1,"FIC RUTHERF","princes of Ireland the Dublin saga",0,20,7,1,14,21,3,0,3
2007,2,"FIC LESCROA","Dead Irish",4,29,5,1,14,30,4,0,9
2007,3,"FIC TANIZAK","Ashikari and The story of Shunkin modern Japanese novels",8,62,9,1,29,57,9,0,9
2007,4,"FIC IRISH G2004","Irish girls about town",6,62,6,0,37,59,10,0,10
2007,5,"FIC MAHFOUZ2005","Rhadopis of Nubia a novel of ancient Egypt",10,57,6,0,26,38,6,0,14
2007,6,"FIC GOLD2006","pirate queen the story of Grace OMalley Irish pirate",11,53,3,3,26,74,12,0,19
2007,7,"FIC PHILLIP2004","Egyptologist a novel",5,57,9,3,40,82,9,4,20
2007,8,"FIC ROBERTS2007","Irish dreams",12,51,9,2,32,89,5,4,18
2007,9,"FIC WHITESI2004","Irish devil",11,49,16,1,26,80,9,3,13
2007,10,"FIC JEN1999","Whos Irish stories",9,30,9,0,20,66,3,0,13
2007,11,"FIC LESCROA","Dead Irish a novel",10,50,16,2,23,83,10,1,13
2007,12,"FIC CHUTE","Beans of Egypt Maine",12,41,16,2,33,89,10,1,8
2008,1,"FIC DELANEY2005","Ireland a novel",14,58,18,0,29,82,6,0,17
2008,2,"FIC RUTHERF","princes of Ireland the Dublin saga",14,46,17,1,26,80,10,1,16
2008,3,"FIC RICE2005","Christ the Lord out of Egypt a novel",10,73,19,1,43,81,13,1,21
2008,4,"FIC TAYLOR2007","Irish country doctor",4,55,7,0,34,66,7,0,13
2008,5,"FIC MAHFOUZ2005","Thebes at war a novel of ancient Egypt",8,66,7,0,32,84,4,2,12
2008,6,"FIC RICE2005","Christ the Lord out of Egypt a novel",11,76,6,1,33,69,9,2,12
2008,7,"FIC LLYWELY","1949 a novel of the Irish Free State",14,58,10,1,33,79,14,5,22
2008,8,"FIC MONES2007","last Chinese chef",8,73,11,4,41,74,47,10,26
2008,9,"FIC HIAASEN1998","death in China",9,64,18,1,27,89,44,6,17
2008,10,"FIC KUSHNER2008","Telex from Cuba a novel",14,59,21,4,29,73,48,6,22
