"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"J M279Tjm CASSETTE","Teach me more Japanese",1,3,8,0,11,13,0,0,9
2006,2,"J An881L CASSETTE","Learn Spanish together an activity kit for kids and grown ups",3,4,14,0,8,11,0,0,5
2006,3,"J PASTORE","Fiona McGilrays story a voyage from Ireland in 1849",2,9,15,0,15,21,0,0,8
2006,4,"J PLATT","Egyptian diary the journal of Nakht",2,6,4,0,15,10,0,0,4
2006,5,"J PLATT","Egyptian diary the journal of Nakht",1,2,11,0,13,12,0,0,3
2006,6,"J YEN","Why rat comes first a story of the Chinese zodiac",2,6,14,0,23,17,0,0,11
2006,7,"J D8335 CASSETTE","Drive in Spanish for kids songs and games for on the go children",0,4,12,0,27,20,0,0,10
2006,8,"J D8335 CASSETTE","Drive in Spanish for kids songs and games for on the go children",4,5,11,0,21,24,0,0,15
2006,9,"J An881L CASSETTE","Learn Spanish together an activity kit for kids and grown ups",1,2,13,0,17,16,0,0,4
2006,10,"J WESTON","With love from Spain Melanie Martin",1,2,7,0,22,10,0,0,9
2006,11,"J PLATT","Egyptian diary the journal of Nakht",1,2,13,0,21,16,0,0,8
2006,12,"J M279Tj CASSETTE","Teach me Japanese",3,3,7,0,12,12,0,0,5
2007,1,"J YEN","Why rat comes first a story of the Chinese zodiac",0,0,6,0,3,7,0,0,5
2007,2,"J M279Tc CASSETTE","Teach me Chinese a musical journey through the day",0,3,5,0,10,12,0,0,4
2007,3,"J PLATT","Egyptian diary the journal of Nakht",2,4,7,0,9,17,0,0,10
2007,4,"J DENENBE","So far from home the diary of Mary Driscoll an Irish mill girl",1,4,12,0,24,16,0,0,7
2007,5,"J D8335 CASSETTE","Drive in Spanish for kids songs and games for on the go children",0,3,4,0,14,11,0,0,6
2007,6,"J D8335 CASSETTE","Drive in Spanish for kids songs and games for on the go children",1,4,7,0,20,15,0,0,7
2007,7,"J M279Tc CASSETTE","Teach me Chinese a musical journey through the day",1,5,7,0,21,28,0,0,9
2007,8,"J M279Tjm CASSETTE","Teach me more Japanese",0,5,10,0,16,21,0,0,8
2007,9,"J D8335 CASSETTE","Drive in Spanish for kids songs and games for on the go children",4,3,13,0,16,16,0,0,8
2007,10,"J D8335 CASSETTE","Drive in Spanish for kids songs and games for on the go children",0,0,4,0,7,5,0,0,3
2007,11,"J YEP","journal of Wong Ming Chung a Chinese miner",0,1,8,0,20,18,0,0,5
