"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"MYSTERY MCINERN2005","Irish gilt",2,30,2,0,14,13,0,0,1
2006,2,"MYSTERY GULIK1992","Necklace and calabash a Chinese detective story",3,30,2,0,18,17,0,11,1
2006,3,"MYSTERY AMELIA","Amelia Peabodys Egypt a compendium",1,60,0,0,8,38,2,8,0
2006,4,"MYSTERY ALBERT","Chile death a China Bayles mystery",1,46,0,0,10,24,0,10,1
2006,5,"MYSTERY GEAGLEY2006","Day of the false king a novel of murder in ancient Iraq",0,32,0,0,2,14,0,6,0
2006,6,"MYSTERY GREELEY2006","Irish crystal a Nuala Anne McGrail novel",1,53,1,0,11,38,1,7,3
2006,7,"MYSTERY GEAGLEY2005","Year of the hyenas a novel of murder in ancient Egypt",12,48,1,0,12,34,0,6,1
2006,8,"MYSTERY GREELEY2006","Irish crystal a Nuala Anne McGrail novel",10,52,2,0,15,49,0,7,0
2006,9,"MYSTERY GREELEY2006","Irish crystal a Nuala Anne McGrail novel",6,41,0,0,4,22,0,3,0
2006,10,"MYSTERY ALLINGH","China governess a mystery",8,34,0,0,9,26,0,4,1
2006,11,"MYSTERY MCINERN2005","Irish gilt",9,26,0,0,10,34,1,2,0
2006,12,"MYSTERY ROZAN1994","China trade",9,44,0,0,18,43,1,1,1
2007,1,"MYSTERY ROZAN1994","China trade",4,15,0,0,3,18,0,2,0
2007,2,"MYSTERY GILL","death of an Irish consul a Peter McGarr mystery",5,30,0,0,8,30,1,1,1
2007,3,"MYSTERY GREELEY2006","Irish crystal a Nuala Anne McGrail novel",6,40,0,0,7,39,0,5,1
2007,4,"MYSTERY DOHERTY2006","assassins of Isis a story of ambition politics and murder set in Ancient Egypt",7,44,11,0,10,37,0,5,1
2007,5,"MYSTERY ALBERT","Bloodroot a China Bayles mystery",6,31,5,0,12,42,0,1,1
2007,6,"MYSTERY ALBERT1997","Love lies bleeding a China Bayles mystery",3,27,13,0,9,42,1,0,1
2007,7,"MYSTERY ALBERT","Chile death a China Bayles mystery",2,49,4,0,12,56,2,2,1
2007,8,"MYSTERY ALBERT","Bloodroot a China Bayles mystery",5,42,10,0,13,44,1,2,2
2007,9,"MYSTERY ALBERT2007","Spanish dagger",2,37,15,0,9,63,2,4,3
2007,10,"MYSTERY THOMPSO2007","Murder in Chinatown a gaslight mystery",3,26,9,0,9,28,0,0,6
2007,11,"MYSTERY THOMPSO2007","Murder in Chinatown a gaslight mystery",3,59,15,0,10,49,0,1,5
2007,12,"MYSTERY PARKER2007","Island of exiles a mystery of early Japan",0,47,18,0,9,40,1,1,10
2008,1,"MYSTERY ALBERT1994","Thyme of death a China Bayles mystery",0,54,17,0,3,46,1,2,9
2008,2,"MYSTERY MCINERN2008","Irish alibi",0,61,15,0,8,53,0,0,5
2008,3,"MYSTERY THOMPSO2007","Murder in Chinatown a gaslight mystery",1,59,10,0,14,63,0,1,9
2008,4,"MYSTERY CHANG2006","Chinatown beat",3,62,12,0,13,49,0,1,3
2008,5,"MYSTERY SHERIDA","Chinese chop",3,60,15,0,14,44,0,1,4
2008,6,"MYSTERY MCINERN","Irish coffee",2,71,12,0,13,53,0,1,5
2008,7,"MYSTERY ALBERT1994","Hangmans root a China Bayles mystery",1,85,6,0,13,53,0,1,7
2008,8,"MYSTERY DEERE","Irish manor house murder",2,61,9,0,16,54,1,0,1
2008,9,"MYSTERY THOMPSO2007","Murder in Chinatown",2,46,13,0,14,50,1,0,2
2008,10,"MYSTERY DOHERTY2008","poisoner of Ptah a story of intrigue and murder set in ancient Egypt",0,60,7,0,24,40,0,0,4
2008,11,"MYSTERY HUGHES2008","price of blood an Irish novel of suspense",1,62,2,0,10,37,0,0,3
2008,12,"MYSTERY GARDINE2008","China Lake an Evan Delaney novel",1,77,0,0,9,38,0,1,3
2009,1,"MYSTERY GULIK2004","Chinese gold murders a Judge Dee detective story",1,65,10,0,11,46,1,1,2
2009,2,"MYSTERY TREMAYN2008","Dancing with demons a mystery of ancient Ireland",0,85,4,0,9,32,0,0,3
2009,3,"MYSTERY GILMAN1984","Mrs Pollifax on the China station",0,64,5,0,7,48,0,0,1
2009,4,"MYSTERY GREELEY2009","Irish tweed a Nuala Anne McGrail novel",1,72,8,0,5,38,0,0,1
2009,5,"MYSTERY GULIK1977","haunted monastery and The Chinese maze murders two Chinese detective novels",3,48,4,0,8,42,0,0,1
2009,6,"MYSTERY GREELEY2009","Irish tweed",2,59,1,0,11,47,0,0,3
2009,7,"MYSTERY ROMAN2009","Chinatown angel",1,78,5,0,12,50,0,0,3
2009,8,"MYSTERY GEAGLEY2005","Year of the hyenas a novel of murder in ancient Egypt",3,51,5,0,12,57,0,2,8
2009,9,"MYSTERY ROMAN2009","Chinatown angel",1,31,2,0,4,31,0,1,6
2009,10,"MYSTERY GREELEY2009","Irish tweed",1,44,2,0,6,40,1,0,5
2009,11,"MYSTERY GULIK2004","Chinese gold murders a Judge Dee detective story",1,58,2,0,4,35,0,0,6
2009,12,"MYSTERY MAY2009","Chinese whispers",2,64,5,0,5,54,0,0,8
2010,1,"MYSTERY GREELEY2009","Irish tweed",7,49,4,0,9,41,0,0,10
2010,2,"MYSTERY TREMAYN2009","council of the cursed a mystery of ancient Ireland",7,36,4,0,5,35,0,2,9
2010,3,"MYSTERY GULIK2005","Chinese nail murders",8,62,9,0,6,48,0,0,6
2010,4,"MYSTERY GULIK1977","haunted monastery and The Chinese maze murders two Chinese detective novels",10,36,4,0,6,31,0,1,2
2010,5,"MYSTERY DOHERTY2008","poisoner of Ptah a story of intrigue and murder set in ancient Egypt",7,39,4,0,5,16,0,0,8
2010,6,"MYSTERY BIGGERS2008","Chinese parrot a Charlie Chan mystery",7,41,4,0,7,31,1,0,2
2010,7,"MYSTERY CRUMLEY2001","Mexican tree duck",11,47,6,0,6,28,0,0,6
2010,8,"MYSTERY HARRISO2009","sting of justice a mystery of medieval Ireland",6,55,4,0,11,36,0,1,2
2010,9,"MYSTERY ALBERT2007","Spanish dagger",4,34,6,0,11,23,0,0,3
2010,10,"MYSTERY GREELEY2009","Irish tweed",4,40,3,0,6,30,0,0,5
2010,11,"MYSTERY GULIK2005","Chinese nail murders",3,54,4,0,6,20,0,1,2
2010,12,"MYSTERY GULIK","Necklace and calabash a Chinese detective story",3,54,4,0,6,25,0,0,4
