"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"SCI-FIC KRESS","Beggars in Spain",0,2,2,0,1,1,0,0,0
2006,2,"SCI-FIC OSBORNE","Bright sword of Ireland",1,4,0,0,1,3,0,0,0
2006,3,"SCI-FIC MCHUGH 1992","China Mountain Zhang",0,2,1,0,2,4,0,0,0
2006,4,"SCI-FIC SCIENCE","Science fiction from China",0,1,0,0,2,4,0,0,0
2006,5,"SCI-FIC KRESS","Beggars in Spain",0,3,1,0,1,2,0,0,0
2006,6,"SCI-FIC OSBORNE 2006","Song of Ireland",0,9,0,0,2,1,0,0,1
2006,7,"SCI-FIC OSBORNE 2006","Song of Ireland",0,8,3,0,3,1,0,0,0
2006,8,"SCI-FIC OSBORNE","Bright sword of Ireland",0,9,2,0,2,0,0,0,1
2006,9,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,4,1,0,3,2,0,0,0
2006,10,"SCI-FIC KRESS","Beggars in Spain",0,6,2,0,2,1,0,0,0
2006,11,"SCI-FIC KRESS","Beggars in Spain",0,2,1,0,3,3,0,0,0
2006,12,"SCI-FIC OSBORNE 2006","Song of Ireland",0,6,1,0,0,2,0,0,0
2007,1,"SCI-FIC OSBORNE 2006","Song of Ireland",0,1,1,0,0,1,0,0,0
2007,2,"SCI-FIC JACQ","empire of darkness a novel of ancient Egypt",0,6,1,0,3,2,0,0,0
2007,3,"SCI-FIC DAY 2007","Grey moon over China",0,6,2,0,4,5,0,0,0
2007,4,"SCI-FIC OSBORNE 2006","Song of Ireland",0,5,1,0,2,7,0,0,0
2007,5,"SCI-FIC OSBORNE 2006","Song of Ireland",0,5,2,0,1,4,0,0,0
2007,6,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,4,2,0,1,3,0,0,0
2007,7,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,2,2,0,4,3,0,0,0
2007,8,"SCI-FIC DAY 2007","Grey moon over China",0,7,4,0,0,4,0,0,0
2007,9,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,1,2,0,1,2,0,0,0
2007,10,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,3,0,0,0,1,0,0,0
2007,11,"SCI-FIC DAY 2007","Grey moon over China",0,0,0,0,2,5,0,0,0
2007,12,"SCI-FIC DAY 2007","Grey moon over China",0,4,2,0,2,4,0,0,0
2008,1,"SCI-FIC LLYWELY 1995","Brian Boru emperor of the Irish",0,3,2,0,0,5,0,0,0
2008,2,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,3,2,0,0,5,0,0,0
2008,3,"SCI-FIC OSBORNE 2006","Song of Ireland",1,2,2,0,0,2,0,0,0
2008,4,"SCI-FIC DAY 2007","Grey moon over China",0,3,2,0,1,4,0,0,0
2008,5,"SCI-FIC BENNETT 2005","Ex machina",0,0,2,0,1,5,0,0,0
2008,6,"SCI-FIC KRESS 2004","Beggars in Spain",0,3,3,0,2,3,0,0,0
2008,7,"SCI-FIC DAY 2007","Grey moon over China",0,4,2,0,0,3,0,0,0
2008,8,"SCI-FIC DAY 2007","Grey moon over China",0,3,1,0,0,4,0,0,0
2008,9,"SCI-FIC MCHUGH 1992","China Mountain Zhang",0,4,2,0,0,1,0,0,0
2008,10,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,0,1,0,2,2,0,0,0
2008,11,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",1,2,2,0,1,1,0,0,0
2008,12,"SCI-FIC DAY 2007","Grey moon over China",0,0,2,0,0,3,0,0,0
2009,1,"SCI-FIC DAY 2007","Grey moon over China",1,0,2,0,1,3,0,0,0
2009,2,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,0,2,0,1,1,0,0,0
2009,3,"SCI-FIC SCIENCE","Science fiction from China",0,2,3,0,0,5,0,0,0
2009,4,"SCI-FIC OSBORNE 2006","Song of Ireland",0,3,3,0,1,1,0,0,0
2009,5,"SCI-FIC DEDALUS 1999","Dedalus book of Spanish fantasy",0,0,1,0,4,3,0,0,0
2009,6,"SCI-FIC SCIENCE","Science fiction from China",0,0,2,0,0,3,0,0,0
2009,7,"SCI-FIC KRESS","Beggars in Spain",0,2,2,0,4,1,0,0,0
2009,8,"SCI-FIC KRESS 2004","Beggars in Spain",0,2,3,0,2,4,0,0,0
2009,9,"SCI-FIC OSBORNE","Bright sword of Ireland",0,2,2,0,1,0,0,0,0
2009,10,"SCI-FIC OSBORNE","Bright sword of Ireland",0,1,1,0,1,2,0,0,0
2009,11,"SCI-FIC KRESS","Beggars in Spain",0,0,4,0,1,3,0,0,0
2009,12,"SCI-FIC BENNETT 2005","Ex machina",0,1,0,0,1,5,0,0,0
2010,1,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,1,0,0,2,0,0,0
2010,2,"SCI-FIC OSBORNE 2006","Song of Ireland",0,3,1,0,1,1,0,0,0
2010,3,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,4,1,0,0,1,0,0,0
2010,4,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,3,2,0,1,2,0,0,0
2010,5,"SCI-FIC JACQ","empire of darkness a novel of ancient Egypt",0,1,2,0,2,2,0,0,0
2010,6,"SCI-FIC MCHUGH 1992","China Mountain Zhang",0,1,2,0,0,5,0,0,0
2010,7,"SCI-FIC JACQ","empire of darkness a novel of ancient Egypt",0,4,1,0,2,2,0,0,0
2010,8,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,2,3,0,1,3,0,0,0
2010,9,"SCI-FIC BENNETT 2005","Ex machina",0,2,1,0,0,3,0,0,0
2010,10,"SCI-FIC DAY 2007","Grey moon over China",0,0,0,0,1,3,0,0,0
2010,11,"SCI-FIC DAY 2007","Grey moon over China",0,1,3,0,2,6,0,0,0
2010,12,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,3,0,0,0,1,0,0,0
2011,1,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",0,1,2,0,2,1,0,0,0
2011,2,"SCI-FIC MCHUGH 1992","China Mountain Zhang",0,0,1,0,0,1,0,0,0
2011,3,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,4,2,0,0,5,0,0,0
2011,4,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,3,0,2,0,0,0,0
2011,5,"SCI-FIC DAY 2007","Grey moon over China",0,1,0,0,0,2,0,0,0
2011,6,"SCI-FIC DAY 2007","Grey moon over China",0,0,1,0,0,1,0,0,0
2011,7,"SCI-FIC OSBORNE 2006","Song of Ireland",1,3,1,0,2,6,0,0,0
2011,8,"SCI-FIC OSBORNE 2006","Song of Ireland",0,1,2,0,1,0,0,0,0
2011,9,"SCI-FIC EMERALD","Emerald magic great tales of Irish fantasy",0,1,1,0,0,2,0,0,0
2011,10,"SCI-FIC JACQ","empire of darkness a novel of ancient Egypt",0,0,1,0,2,1,0,0,0
2011,11,"SCI-FIC OSBORNE 2006","Song of Ireland",0,1,1,0,1,0,0,0,0
2011,12,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,2,0,0,1,0,0,0
2012,1,"SCI-FIC DAY 2007","Grey moon over China",0,0,3,0,0,2,0,0,0
2012,2,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",3,0,1,0,0,0,0,0,0
2012,3,"SCI-FIC BAKER 2004","Mother Aegypt and other stories",4,0,2,0,2,1,0,0,0
2012,4,"SCI-FIC OSBORNE 2006","Song of Ireland",7,1,2,0,0,3,0,0,0
2012,5,"SCI-FIC DAY 2007","Grey moon over China",5,1,2,0,1,2,0,0,0
2012,6,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",7,1,5,0,0,3,0,0,0
2012,7,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",3,1,1,0,1,1,0,0,10
2012,8,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,3,0,1,2,0,0,4
2012,9,"SCI-FIC OSBORNE 2006","Song of Ireland",0,1,1,0,0,1,0,0,4
2012,10,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,9,0,1,1,0,0,5
2012,11,"SCI-FIC FUTURE 2012","future is Japanese",1,1,10,0,0,1,0,0,4
2012,12,"SCI-FIC FUTURE 2012","future is Japanese",0,0,3,0,1,2,0,0,2
2013,1,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,7,0,2,2,0,0,1
2013,2,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,3,0,1,2,0,0,2
2013,3,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,5,0,0,0,0,0,1
2013,4,"SCI-FIC DAY 2007","Grey moon over China",0,1,4,0,0,3,0,0,2
2013,5,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",3,0,3,0,0,2,0,0,2
2013,6,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,5,0,0,0,0,0,2
2013,7,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,7,0,1,1,0,0,4
2013,8,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,4,0,0,1,0,0,2
2013,9,"SCI-FIC OSBORNE 2006","Song of Ireland",0,1,4,0,0,1,0,0,1
2013,10,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,8,0,0,0,0,0,1
2013,11,"SCI-FIC MCHUGH 1992","China Mountain Zhang",0,0,6,0,0,1,0,0,0
2013,12,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,8,0,0,1,0,0,1
2014,1,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,8,0,0,3,0,0,0
2014,2,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",1,0,9,0,1,1,0,0,3
2014,3,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,6,0,0,0,0,0,1
2014,4,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,8,0,0,0,0,0,2
2014,5,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,8,0,0,0,0,0,2
2014,6,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,4,0,0,0,0,0,1
2014,7,"SCI-FIC FUTURE 2012","future is Japanese",1,0,0,0,0,0,0,0,1
2014,8,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,3,0,0,0,0,0,2
2014,9,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,3,0,0,2,0,0,1
2014,10,"SCI-FIC MCHUGH 1992","China Mountain Zhang",1,0,5,0,0,2,0,0,0
2014,11,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,5,0,0,1,0,0,1
2014,12,"SCI-FIC FUTURE 2012","future is Japanese",4,0,1,0,1,2,0,0,2
2015,1,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",3,0,1,0,1,2,0,0,0
2015,2,"SCI-FIC MCHUGH 1992","China Mountain Zhang",3,0,2,0,0,1,0,0,0
2015,3,"SCI-FIC FUTURE 2012","future is Japanese",2,0,4,0,0,1,0,0,1
2015,4,"SCI-FIC MCHUGH 1992","China Mountain Zhang",0,0,3,0,1,3,0,0,1
2015,5,"SCI-FIC KRESS 2004","Beggars in Spain",3,0,5,0,0,4,0,0,0
2015,6,"SCI-FIC MCHUGH 1992","China Mountain Zhang",2,0,2,0,1,8,0,0,0
2015,7,"SCI-FIC MCHUGH 1992","China Mountain Zhang",2,0,5,0,1,4,0,0,1
2015,8,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,5,0,0,1,0,0,0
2015,9,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,6,0,0,2,0,0,0
2015,10,"SCI-FIC FUTURE 2012","future is Japanese",2,0,2,0,0,1,0,0,1
2015,11,"SCI-FIC KRESS 2004","Beggars in Spain",2,0,4,0,0,0,0,0,1
2015,12,"SCI-FIC KRESS 2004","Beggars in Spain",1,0,3,0,0,1,0,0,0
2016,1,"SCI-FIC THREE M 2011","Three messages and a warning contemporary Mexican short stories of the fantastic",3,0,5,0,0,1,0,0,0
2016,2,"SCI-FIC MCHUGH 1992","China Mountain Zhang",3,0,5,0,0,1,0,0,0
2016,3,"SCI-FIC FUTURE 2012","future is Japanese",2,0,5,0,0,1,6,0,1
2016,4,"SCI-FIC HERNAND 2016","assimilated Cubans guide to quantum santeria",0,0,2,0,0,0,7,0,6
2016,5,"SCI-FIC LIU 2016","United States of Japan",0,0,3,0,0,1,1,0,6
2016,6,"SCI-FIC KRESS 2004","Beggars in Spain",3,0,3,0,0,0,1,0,7
2016,7,"SCI-FIC LIU 2016","United States of Japan",2,0,4,0,0,1,1,0,3
2016,8,"SCI-FIC KRESS 2004","Beggars in Spain",0,0,3,0,0,1,0,0,1
2016,9,"SCI-FIC LIU 2016","United States of Japan",1,0,3,0,0,0,1,0,2
2016,10,"SCI-FIC LIU 2016","United States of Japan",0,0,0,0,0,0,1,0,2
2016,11,"SCI-FIC MCHUGH 1992","China Mountain Zhang",1,0,5,0,0,12,1,0,3
