"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"VHS MEXICAN","Mexican",17,4,3,2,6,58,0,0,0
2006,2,"VHS J SAGWA","Sagwa the Chinese Siamese cat best friends",29,11,6,4,8,76,0,0,0
2006,3,"VHS PRINCE","prince of Egypt",33,9,9,6,11,87,0,0,0
2006,4,"VHS MEXICAN","Mexican",21,9,6,2,2,71,0,0,0
2006,5,"VHS J SAGWA","Sagwa the Chinese Siamese cat cat tales",18,6,4,0,1,50,0,0,0
2006,6,"VHS MEXICAN","Mexican",25,8,5,4,4,75,0,0,0
2006,7,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",18,7,8,1,5,65,0,0,0
2006,8,"VHS J LUCK_OF","luck of the Irish",21,10,6,6,4,96,0,0,0
2006,9,"VHS MEXICAN","Mexican",15,2,6,2,5,59,0,0,0
2006,10,"VHS ONCE UP","Once upon a time in China Huang Feihong",24,7,6,2,3,66,0,0,0
2006,11,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",17,6,4,4,4,67,0,0,0
2006,12,"VHS ONCE UP","Once upon a time in China Huang Feihong",13,8,6,4,3,47,0,0,0
2007,1,"VHS J SAGWA","Sagwa the Chinese Siamese cat family fun",6,7,1,2,0,32,0,0,0
2007,2,"VHS SPANISH","Spanish prisoner",2,4,7,3,2,37,0,0,0
2007,3,"VHS MEXICAN","Mexican",13,8,7,3,2,66,0,0,0
2007,4,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",13,7,6,4,2,59,0,0,0
2007,5,"VHS J SAGWA","Sagwa the Chinese Siamese cat feline festivities",8,8,6,4,3,54,0,0,0
2007,6,"VHS ONCE UP","Once upon a time in China Huang Feihong",8,4,4,5,2,52,0,0,0
2007,7,"VHS J SAGWA","Sagwa the Chinese Siamese cat cat tales",13,6,4,4,1,66,0,0,0
2007,8,"VHS ONCE UP","Once upon a time in China Huang Feihong",12,9,7,6,1,74,0,0,0
2007,9,"VHS J LUCK_OF","luck of the Irish",12,6,2,1,2,47,0,0,0
2007,10,"VHS ONCE UP","Once upon a time in China Huang Feihong",4,5,3,3,3,25,0,0,0
2007,11,"VHS DISRAEL","Disraeli portrait of a romantic",8,5,6,5,0,39,0,0,0
2007,12,"VHS ONCE UP","Once upon a time in China Huang Feihong",12,4,6,4,1,36,0,0,0
2008,1,"VHS MEXICAN","Mexican",12,4,6,1,2,47,0,0,0
2008,2,"VHS ST PATR","St Patrick the Irish legend",10,5,7,3,2,42,0,0,0
2008,3,"VHS J SAGWA","Sagwa the Chinese Siamese cat kitty concerto",8,4,7,3,1,37,0,0,0
2008,4,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",6,2,8,3,1,41,0,0,0
2008,5,"VHS CHINESE","Chinese connection",10,1,4,2,0,32,0,0,0
2008,6,"VHS J SAGWA","Sagwa the Chinese Siamese cat best friends",8,2,3,3,1,41,0,0,0
2008,7,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",11,1,5,2,1,37,0,0,0
2008,8,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",10,0,5,3,1,34,0,0,0
2008,9,"VHS J SAGWA","Sagwa the Chinese Siamese cat Sagwas petting zoo",10,0,8,3,0,25,0,0,0
2008,10,"VHS MEXICAN","Mexican",12,1,3,1,2,34,0,0,0
2008,11,"VHS ONCE UP","Once upon a time in China Huang Feihong",7,1,4,1,1,29,0,0,0
2008,12,"VHS SPANISH","Spanish prisoner",8,0,3,2,0,22,0,0,0
2009,1,"VHS GYPSY B","Gypsy blood a love tale of old Spain",7,0,5,1,1,23,0,0,0
2009,2,"VHS DISRAEL","Disraeli",4,0,3,4,0,20,0,0,0
2009,3,"VHS HAMSIN","Hamsin Hamsin Hot wind Galilee Israel 1982",8,0,3,5,0,22,0,0,0
2009,4,"VHS MEXICAN","Mexican",6,0,2,1,0,14,0,0,0
2009,5,"VHS ONCE UP","Once upon a time in China Huang Feihong",6,0,2,2,0,13,0,0,0
2009,6,"VHS ONCE UP","Once upon a time in China Huang Feihong",6,0,1,2,0,17,0,0,0
