"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2006,1,"YA THICKER","Thicker than water coming of age stories by Irish and Irish American writers",0,2,6,0,0,4,2,0,0
2006,2,"YA CANN","Spanish holiday or How I transformed the worst vacation ever into the best summer of my life",0,0,11,0,0,3,9,0,0
2006,3,"YA BERRY","China garden",0,3,2,0,2,4,2,0,0
2006,4,"YA OSA","Cuba 15 a novel",0,1,10,0,1,4,13,0,0
2006,5,"YA OSA","Cuba 15 a novel",0,0,2,0,1,2,4,0,0
2006,6,"YA CANN","Spanish holiday or How I transformed the worst vacation ever into the best summer of my life",0,1,13,0,1,6,12,0,0
2006,7,"YA TRIANA","Cubanita",0,0,16,0,0,9,10,0,0
2006,8,"YA JELLEN","Spain or shine",0,0,11,0,1,9,10,0,0
2006,9,"YA OSA","Cuba 15 a novel",0,1,7,0,1,8,6,0,0
2006,10,"YA BERRY","China garden",0,0,2,0,2,12,6,0,0
2006,11,"YA BERRY","China garden",0,0,3,0,3,8,11,0,0
2006,12,"YA B C594N 2005","Cleopatra Egypts last pharaoh",0,1,1,0,2,5,1,0,0
2007,1,"YA JELLEN","Spain or shine",0,0,2,0,0,3,3,0,0
2007,2,"YA OSA","Cuba 15 a novel",0,0,2,0,1,1,5,0,0
2007,3,"YA JELLEN","Spain or shine",0,0,6,0,3,8,6,0,0
2007,4,"YA LESTER","Pharaohs daughter a novel of ancient Egypt",0,0,4,0,3,8,8,0,0
2007,5,"YA OSA","Cuba 15 a novel",0,0,3,0,2,3,5,0,0
2007,6,"YA OSA","Cuba 15 a novel",3,0,3,0,1,12,7,0,0
2007,7,"YA JELLEN","Spain or shine",2,0,7,0,0,10,6,0,0
2007,8,"YA OSA","Cuba 15 a novel",3,2,6,0,0,6,4,0,0
2007,9,"YA OSA","Cuba 15 a novel",1,1,1,0,2,2,6,0,0
2007,10,"YA B C594C 2007","Cleopatra ruler of Egypt",1,0,0,0,2,4,3,0,0
2007,11,"YA NAPOLI","Hush an Irish princess tale",3,6,1,0,1,5,6,0,0
2007,12,"YA B C594N 2005","Cleopatra Egypts last pharaoh",0,5,1,0,5,4,3,0,0
2008,1,"YA LEVITIN","Escape from Egypt a novel",0,6,3,0,5,9,6,0,0
2008,2,"YA TRIANA","Cubanita",2,7,0,0,4,4,4,0,0
2008,3,"YA BERRY","China garden",3,3,3,0,5,5,7,0,0
2008,4,"YA OSA","Cuba 15 a novel",0,4,5,0,3,5,7,0,0
2008,5,"YA BERRY","China garden",2,7,4,0,0,7,8,0,0
2008,6,"YA OSA","Cuba 15 a novel",0,12,3,0,3,4,8,0,0
2008,7,"YA WILLIAM","Broken China",1,10,7,0,2,11,8,0,0
2008,8,"YA WILLIAM","Broken China",2,10,6,0,2,5,2,0,0
2008,9,"YA OSA","Cuba 15 a novel",2,11,4,0,1,2,5,0,12
2008,10,"YA B C594C 2007","Cleopatra ruler of Egypt",3,6,2,0,2,2,2,0,6
2008,11,"YA FAUST","Faust Volume one Fiction and manga from the cutting edge of Japanese pop culture",1,7,2,0,1,2,0,0,6
2008,12,"YA OSA","Cuba 15 a novel",8,9,3,0,3,1,8,0,5
2009,1,"YA FAUST","Faust Volume one Fiction and manga from the cutting edge of Japanese pop culture",4,12,3,0,2,5,5,0,4
2009,2,"YA B C594C 2007","Cleopatra ruler of Egypt",0,6,4,0,2,3,2,0,5
2009,3,"YA NAPOLI","Hush an Irish princess tale",8,12,4,0,1,7,3,0,3
2009,4,"YA NAPOLI","Hush an Irish princess tale",4,8,5,0,3,4,6,0,2
2009,5,"YA CANN","Spanish holiday or How I transformed the worst vacation ever into the best summer of my life",4,4,2,0,3,7,5,0,1
2009,6,"YA FAUST","Faust Volume one Fiction and manga from the cutting edge of Japanese pop culture",4,9,4,0,5,10,6,0,2
2009,7,"YA FAUST","Faust Volume one Fiction and manga from the cutting edge of Japanese pop culture",3,10,3,0,4,4,7,0,5
2009,8,"YA OSA","Cuba 15 a novel",3,7,7,0,1,9,5,0,2
2009,9,"YA JELLEN","Spain or shine",2,3,2,0,2,7,4,0,3
2009,10,"YA BERRY","China garden",4,5,2,0,1,6,3,0,3
2009,11,"YA ALEGRIA","Sofi Mendozas guide to getting lost in Mexico",4,6,1,0,0,7,3,0,1
2009,12,"YA LESTER","Pharaohs daughter a novel of ancient Egypt",1,2,2,0,6,3,3,0,0
2010,1,"YA NAPOLI","Hush an Irish princess tale",5,4,2,0,4,3,1,0,2
2010,2,"YA OSA","Cuba 15 a novel",5,3,2,0,1,2,7,0,2
2010,3,"YA ENGLE","Tropical secrets Holocaust refugees in Cuba",1,6,2,0,2,6,3,0,2
2010,4,"YA B C2796M 2009","Fidel Castro Cuban president revolutionary",4,3,1,0,3,1,4,0,1
2010,5,"YA LESTER","Pharaohs daughter a novel of ancient Egypt",3,2,0,0,3,1,5,0,0
2010,6,"YA CRUTCHE","Chinese handcuffs",5,3,0,0,2,2,4,0,0
2010,7,"YA NAPOLI","Hush an Irish princess tale",5,7,2,0,0,5,3,0,0
2010,8,"YA NAPOLI","Hush an Irish princess tale",1,8,1,0,0,3,6,0,0
2010,9,"YA NAPOLI","Hush an Irish princess tale",3,1,0,0,0,4,3,0,0
2010,10,"YA LITTLE","apprentices masterpiece a story of medieval Spain",1,0,1,0,3,3,1,0,0
