title,count,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9
Into the wild,18647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,417,497,449,544,555,529,507,356,483,507,467,491,442,424,466,461,434,331,456,403,399,408,366,427,342,362,294,273,263,182,261,251,262,247,223,253,198,181,187,172,183,138,141,154,154,144,104,135,132,127,123,116,94,103,101,105,98,102,89,84,88,72,55,61,50,39,50,53,47,48,42,38,25,33,29,21,18,16,25,15,22,12,15,22,15,19,18,21,16,13,15,13,10,10,12,12,9,14,10,5,7,2,5,5,2,3,3,3,5,5,4,2,4,30
Michael Clayton,16909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,441,493,455,546,592,570,516,425,507,541,455,476,414,414,409,402,390,280,381,381,360,383,328,364,321,308,253,243,255,212,226,221,223,204,193,211,169,152,141,155,137,99,110,100,103,92,103,96,84,92,78,83,69,60,64,68,66,59,55,67,52,44,42,32,22,33,32,28,28,26,28,31,21,15,14,13,20,16,23,18,23,15,15,14,14,15,16,18,11,10,7,11,13,9,10,8,12,11,9,11,12,10,8,8,6,4,1,2,4,5,11,18,17,10
Burn after reading,16826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,457,496,476,467,469,591,573,554,433,548,499,536,507,452,502,447,426,423,396,355,271,329,312,328,294,293,313,264,247,250,226,213,150,185,175,166,164,149,155,143,140,134,143,114,97,132,107,93,121,88,88,70,72,57,64,52,42,47,39,43,35,26,26,35,20,22,24,20,27,25,16,17,16,22,18,19,16,11,14,13,14,13,7,7,8,6,8,5,4,18,15,15,17,16,13,15,14,17,13,16,14,10,9,11,12
Darjeeling Limited,16075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,331,369,383,413,428,446,454,330,424,418,375,410,356,409,383,376,369,264,385,326,359,366,330,346,292,256,251,245,209,186,210,234,229,213,180,212,185,165,151,158,126,107,131,118,120,120,108,121,104,104,103,103,100,73,111,97,104,105,78,84,69,60,60,62,49,48,52,58,45,45,33,44,44,41,34,33,34,32,33,28,23,32,22,28,23,24,23,25,16,20,15,16,19,23,16,16,9,8,11,7,9,7,8,5,5,6,1,5,0,0,0,0,0,0
reader,15938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,485,455,437,436,308,531,536,520,547,461,574,507,490,391,412,338,308,359,283,345,375,305,326,299,264,272,240,229,160,186,186,215,181,164,181,162,167,159,158,127,116,138,115,141,120,109,107,97,82,77,76,66,64,78,68,78,65,59,64,54,48,39,42,42,39,34,27,38,31,33,29,26,17,12,21,27,20,17,16,20,12,10,10,9,10,12,11,14,13,7,7,6,9,5,6,10,10,5,15,15,10
Atonement,15920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,301,375,382,366,373,404,415,346,404,428,352,414,362,365,377,348,356,277,350,326,350,354,302,324,307,300,250,260,237,200,236,216,250,266,212,218,217,178,212,194,154,120,151,136,146,140,132,155,122,100,94,100,82,83,89,97,79,80,87,79,59,62,52,58,54,42,52,43,44,39,29,32,30,32,27,33,23,30,21,24,21,19,22,20,17,12,12,13,13,13,11,10,11,12,9,13,11,7,6,7,8,5,6,3,7,7,2,17,14,15,15,16,12,21
No country for old men,15909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,449,537,484,503,566,512,513,388,489,496,418,452,377,376,401,430,369,260,366,342,341,338,277,314,234,266,232,213,192,162,192,163,192,165,123,170,140,140,146,121,104,91,99,110,109,89,75,100,88,96,74,91,67,56,73,68,74,89,59,64,62,48,45,42,53,39,39,44,36,39,30,25,26,31,27,29,31,25,25,19,18,26,22,21,21,23,19,12,21,16,17,15,19,17,14,16,17,11,13,16,6,11,8,9,7,15,8,22,14,10,12,15,13,11
Doubt,15821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,580,567,489,524,434,622,622,592,613,520,654,484,466,495,404,375,295,373,387,362,340,291,334,278,230,240,223,212,148,179,169,188,159,166,148,116,107,120,122,117,100,92,109,99,86,70,84,55,51,49,59,54,47,38,39,37,34,29,35,31,21,24,21,25,15,16,15,14,17,15,23,9,11,8,8,10,13,11,9,4,5,2,2,2,10,14,14,16,15,19,14,13,16,10,13,12,7,11,17,10,10
Vicky Cristina Barcelona,15649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,351,460,401,436,438,507,484,354,507,491,517,505,437,474,430,465,390,403,343,275,319,335,346,332,294,323,238,230,241,200,192,135,160,179,206,159,152,151,119,121,127,136,124,88,89,127,110,112,100,92,82,60,57,68,63,57,51,48,51,52,38,35,35,24,24,28,30,26,25,32,25,26,25,24,12,19,15,14,20,17,16,18,13,12,11,7,7,9,11,6,8,5,4,3,4,3,0,2,3,6,10,8,10,9
Juno,15264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,401,563,581,538,561,609,441,588,574,518,521,448,461,512,477,434,320,409,396,383,391,353,336,311,257,230,229,230,186,185,156,172,175,140,159,128,108,120,117,91,67,75,70,60,46,51,48,47,39,39,43,33,24,35,29,37,30,28,34,23,28,21,18,20,18,13,15,15,10,12,10,8,4,8,8,8,6,4,3,6,8,4,5,2,5,3,4,27,20,17,17,12,20,15,18,9,12,10,13,14,12,10,6,9,10,5,9,11,4,9,8,6,10
curious case of Benjamin Button,15093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,483,463,466,282,425,429,524,511,446,554,529,524,499,386,376,295,355,313,376,341,286,322,271,260,256,241,219,167,205,182,200,162,145,169,147,158,121,154,108,97,123,108,122,117,104,104,96,82,86,94,84,75,71,75,73,54,53,52,55,46,40,42,33,18,28,23,25,26,27,21,23,15,17,14,19,14,12,10,18,14,13,12,11,8,7,8,6,6,9,9,7,8,5,5,5,4,5,6,3,7
Slumdog millionaire,15012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,411,448,466,456,302,505,498,521,502,432,482,448,426,418,399,346,291,348,338,359,367,273,322,268,236,233,213,203,167,164,177,170,160,172,177,137,133,119,160,116,96,127,120,116,108,94,95,86,83,72,67,75,68,61,59,60,57,55,47,39,37,46,45,36,28,28,22,28,16,23,21,17,9,13,11,8,7,9,6,9,10,6,4,4,5,11,16,13,11,11,10,18,15,8,12,16,13,10,11,8,6
Gone baby gone,14321,0,0,0,0,0,0,0,0,0,0,0,0,0,63,210,349,380,372,470,478,480,412,345,408,453,385,426,339,347,354,361,340,216,332,314,319,313,278,296,250,246,213,211,197,142,184,201,203,188,165,174,143,162,137,119,107,78,97,80,90,72,75,85,62,67,62,62,46,41,52,45,57,53,49,50,49,53,46,40,41,35,50,33,33,39,35,27,19,20,23,14,21,16,19,10,9,11,8,14,6,7,8,11,9,6,5,11,9,11,6,5,3,5,11,18,19,19,16,15,18,24,13,18,16,11,16,11,10,12
Milk,14283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,445,514,509,452,437,362,543,517,510,515,447,490,474,491,391,379,347,270,322,286,314,307,259,323,251,205,208,197,161,130,142,163,128,130,125,122,89,98,90,95,70,66,76,75,84,78,81,74,69,67,68,56,50,57,43,44,44,43,38,41,33,35,24,26,21,24,20,22,13,17,14,13,8,6,10,9,10,8,13,13,6,11,9,11,7,6,6,7,7,4,3,6,5,10,10,7,7,7,10,5,4,6
Once,13853,0,0,0,0,0,0,0,0,0,0,0,77,126,206,280,257,309,309,353,385,342,339,268,355,355,310,312,284,258,276,283,284,218,262,262,291,260,232,267,237,232,247,221,195,161,181,182,193,181,158,158,154,139,143,130,122,94,116,112,110,105,99,118,73,77,82,85,61,74,82,74,84,84,66,65,61,58,52,51,58,45,38,51,50,49,36,48,43,42,48,47,46,37,37,28,34,33,28,30,25,26,26,15,26,20,18,17,14,12,7,11,11,11,12,10,9,11,8,7,6,9,4,6,5,5,3,5,2,5
WALL E,13603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,432,504,384,422,360,366,353,382,372,261,358,309,315,346,272,320,284,269,268,272,236,186,195,203,192,201,177,184,184,169,165,187,166,106,128,119,116,111,110,113,105,105,98,117,94,84,95,95,88,89,87,91,86,74,73,82,83,61,58,60,53,57,45,47,48,44,45,46,48,43,37,24,32,26,25,25,29,20,30,23,25,29,25,36,50,45,38,41,37,36,33,38,36,33,30,37,35,27,20,29,30,21,27,28,42,37
Rachel getting married,13561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,442,480,462,424,498,386,531,497,563,531,472,506,462,394,396,367,321,265,285,287,277,314,266,272,239,179,180,164,173,117,142,132,133,113,94,112,96,90,96,88,77,58,62,72,76,70,59,59,52,41,53,51,50,35,39,38,49,36,34,34,26,21,23,12,11,15,17,10,12,12,13,8,7,5,4,5,6,8,5,4,2,5,7,8,5,5,6,2,4,2,4,2,5,1,3,9,13,19,11,9,18,8
Charlie Wilsons war,13506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,366,347,321,319,345,269,328,401,330,385,318,348,373,357,305,252,317,287,318,309,248,337,259,258,251,232,209,155,172,194,198,167,173,155,167,133,137,132,121,114,109,118,128,105,121,114,113,101,96,106,87,80,92,89,89,84,78,81,71,50,47,44,44,41,44,39,38,39,31,38,29,31,29,41,22,21,17,19,19,20,14,16,9,12,8,13,6,10,10,8,7,8,6,7,5,9,9,8,6,7,6,5,4,8,2,15,17,14,14,9,13,9
Becoming Jane,13369,0,0,0,0,0,0,0,0,0,0,0,0,0,51,193,274,292,274,328,351,333,318,267,351,371,296,345,289,284,315,306,294,226,283,282,291,285,271,304,253,252,264,237,190,147,178,183,191,175,165,193,180,140,156,135,134,109,124,114,120,107,95,116,95,95,101,97,85,77,86,83,78,73,73,76,58,58,51,63,56,47,45,42,43,39,32,32,29,14,19,12,14,18,13,14,12,15,9,12,11,13,10,10,12,12,6,8,6,8,2,6,6,7,6,5,4,5,5,4,7,4,0,5,3,3,0,1,2,0
golden compass,13324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,352,387,364,401,373,321,401,442,343,419,350,352,344,359,333,236,326,336,346,354,306,303,268,248,247,209,185,179,200,188,178,178,167,197,159,142,134,139,126,91,109,102,98,78,95,103,77,68,65,69,48,50,70,55,53,53,56,53,47,41,50,46,43,37,41,29,36,34,26,27,25,17,16,13,13,18,15,17,13,13,11,14,12,11,10,11,12,9,9,12,11,6,2,6,2,4,5,2,6,3,5,5,3,3,3,5,2,5,4,10,19,11
Quantum of solace,13201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,342,412,406,380,385,325,451,467,469,474,383,506,399,400,356,295,273,220,267,260,280,258,225,217,200,177,164,176,143,117,132,115,145,120,128,131,116,93,97,88,75,62,60,75,85,74,82,81,85,83,87,91,81,66,77,66,63,74,70,60,59,46,39,29,36,24,22,16,21,19,16,24,15,15,14,10,10,11,10,8,5,29,31,25,28,27,29,34,31,18,28,20,22,17,11,29,18,12,13,18,14,10
kite runner,13180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,269,300,305,290,292,311,263,288,302,281,294,268,293,305,296,304,214,286,282,267,299,250,279,268,259,264,257,223,186,229,214,215,217,178,216,159,183,182,164,150,105,136,126,132,117,128,119,100,99,96,100,83,79,76,83,83,88,77,82,55,62,56,67,61,48,47,52,43,42,36,31,34,33,29,24,19,18,15,17,14,14,14,13,11,11,9,8,6,5,8,6,9,6,6,8,6,3,7,3,6,5,6,3,5,3,2,1,2,2,3,4,4,2
Mamma mia,13027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,372,347,364,333,363,424,399,368,292,356,376,373,339,319,363,312,294,333,285,268,222,232,255,231,260,240,272,221,192,195,185,175,122,129,117,141,114,105,120,117,106,104,108,85,78,100,82,95,87,77,70,79,66,53,71,70,61,41,54,46,35,37,38,31,42,26,24,22,18,27,25,24,22,19,24,18,16,15,14,18,11,11,9,9,8,11,10,7,8,8,9,5,3,5,15,19,11,9,18,18,10,17,11,11,12
Revolutionary Road,12883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,331,355,245,342,323,415,442,384,441,393,368,370,327,303,267,305,300,337,315,284,296,283,230,243,233,237,172,194,199,187,169,158,172,147,146,158,144,99,104,103,119,106,90,103,110,90,85,69,82,65,69,65,74,73,74,62,66,46,47,37,30,25,24,28,22,26,23,16,18,17,14,14,13,14,10,11,9,14,13,12,13,10,10,9,8,10,8,9,2,6,9,1,7,5,5,5,5,4,6
Across the universe,12781,0,0,0,0,0,0,0,0,0,0,0,0,0,158,264,298,345,320,391,411,395,360,283,373,383,351,372,304,318,345,318,283,211,308,277,317,273,241,267,234,207,194,183,163,137,178,166,204,170,147,154,146,123,116,119,120,74,104,81,96,73,80,69,69,58,60,44,45,37,45,44,44,41,39,35,34,31,32,30,37,29,25,24,29,29,19,18,19,13,9,7,9,7,6,9,5,9,5,9,6,7,6,4,14,13,15,13,8,11,12,10,11,10,8,10,4,9,10,6,11,10,7,7,6,11,6,10,7,10
