Date,Hour,TotalCheckouts
2007-01-01,12,7
2007-01-01,17,5
2007-01-02,7,1
2007-01-02,8,9
2007-01-02,9,158
2007-01-02,10,227
2007-01-02,11,583
2007-01-02,12,449
2007-01-02,13,1884
2007-01-02,14,2248
2007-01-02,15,1284
2007-01-02,16,2112
2007-01-02,17,2336
2007-01-02,18,2463
2007-01-02,19,2347
2007-01-02,20,18
2007-01-03,0,18
2007-01-03,8,82
2007-01-03,9,101
2007-01-03,10,1431
2007-01-03,11,1998
2007-01-03,12,1418
2007-01-03,13,1787
2007-01-03,14,1590
2007-01-03,15,1415
2007-01-03,16,1993
2007-01-03,17,2227
2007-01-03,18,2234
2007-01-03,19,2146
2007-01-03,20,38
2007-01-03,23,17
2007-01-04,0,1
2007-01-04,8,18
2007-01-04,9,40
2007-01-04,10,1031
2007-01-04,11,1703
2007-01-04,12,1722
2007-01-04,13,2074
2007-01-04,14,1895
2007-01-04,15,2017
2007-01-04,16,2187
2007-01-04,17,1830
2007-01-04,18,2293
2007-01-04,19,2047
2007-01-04,20,13
2007-01-04,23,9
2007-01-05,0,8
2007-01-05,7,2
2007-01-05,8,8
2007-01-05,9,69
2007-01-05,10,1188
2007-01-05,11,450
2007-01-05,12,1255
2007-01-05,13,416
2007-01-05,14,1806
2007-01-05,15,2207
2007-01-05,16,2649
2007-01-05,17,3023
2007-01-05,18,59
2007-01-05,19,1
2007-01-05,23,9
2007-01-06,5,1
2007-01-06,7,3
2007-01-06,9,17
2007-01-06,10,1441
2007-01-06,11,1337
2007-01-06,12,746
2007-01-06,13,2246
2007-01-06,14,1777
2007-01-06,15,2519
2007-01-06,16,2159
2007-01-06,17,2661
2007-01-06,18,25
2007-01-07,17,321
2007-01-07,18,14
2007-01-07,20,4
2007-01-07,21,9
2007-01-07,22,7
2007-01-07,23,17
2007-01-08,0,1
2007-01-08,7,2
2007-01-08,8,275
2007-01-08,9,308
2007-01-08,10,442
2007-01-08,11,612
2007-01-08,12,471
2007-01-08,13,1100
2007-01-08,14,1102
2007-01-08,15,1210
2007-01-08,16,2120
2007-01-08,17,2186
2007-01-08,18,2102
2007-01-08,19,2274
2007-01-08,20,41
2007-01-09,0,3
2007-01-09,8,206
2007-01-09,9,38
2007-01-09,10,208
2007-01-09,11,11
2007-01-09,12,87
2007-01-09,13,671
2007-01-09,14,2033
2007-01-09,15,1596
2007-01-09,16,1492
2007-01-09,17,1512
2007-01-09,18,2001
2007-01-09,19,2099
2007-01-09,20,48
2007-01-09,22,3
2007-01-10,4,1
2007-01-10,8,231
2007-01-10,9,68
2007-01-10,10,386
2007-01-10,11,227
2007-01-10,12,780
2007-01-10,13,1538
2007-01-10,14,719
2007-01-10,15,1935
2007-01-10,16,1812
2007-01-10,17,2266
2007-01-10,18,1303
2007-01-10,19,1227
2007-01-10,20,9
2007-01-10,23,6
2007-01-11,8,19
2007-01-11,9,18
2007-01-11,10,208
2007-01-11,11,307
2007-01-11,12,1642
2007-01-11,13,2053
2007-01-11,14,1338
2007-01-11,15,1110
2007-01-11,16,1488
2007-01-11,17,2119
2007-01-11,18,1620
2007-01-11,19,1277
2007-01-11,20,3
2007-01-11,23,6
2007-01-12,0,10
2007-01-12,2,1
2007-01-12,3,1
2007-01-12,6,1
2007-01-12,7,1
2007-01-12,8,4
2007-01-12,9,69
2007-01-12,10,1237
2007-01-12,11,1914
2007-01-12,12,1570
2007-01-12,13,1686
2007-01-12,14,1298
2007-01-12,15,1704
2007-01-12,16,1423
2007-01-12,17,2869
2007-01-12,18,102
2007-01-12,19,3
2007-01-12,23,6
2007-01-13,10,525
2007-01-13,11,1420
2007-01-13,12,1266
2007-01-13,13,1772
2007-01-13,14,1469
2007-01-13,15,1711
2007-01-13,16,1079
2007-01-13,17,1689
2007-01-13,18,30
2007-01-14,10,3
2007-01-14,11,11
2007-01-14,12,564
2007-01-14,13,920
2007-01-14,14,1325
2007-01-14,15,1759
2007-01-14,16,1752
2007-01-14,17,461
2007-01-14,18,11
2007-01-15,2,4
2007-01-15,14,11
2007-01-15,15,6
2007-01-15,16,3
2007-01-15,17,4
2007-01-15,18,1
2007-01-16,8,89
2007-01-16,9,105
2007-01-16,10,225
2007-01-16,11,301
2007-01-16,12,486
2007-01-16,13,674
2007-01-16,14,2649
2007-01-17,8,7
2007-01-17,9,89
2007-01-17,10,1030
2007-01-17,11,891
2007-01-17,12,778
2007-01-17,13,1223
2007-01-17,14,953
2007-01-17,15,1057
2007-01-17,16,906
2007-01-17,17,1177
2007-01-17,18,1386
2007-01-17,19,1393
2007-01-17,20,32
2007-01-17,22,16
2007-01-17,23,4
2007-01-18,8,70
2007-01-18,9,98
2007-01-18,10,779
2007-01-18,11,456
2007-01-18,12,952
2007-01-18,13,999
2007-01-18,14,1036
2007-01-18,15,860
2007-01-18,16,946
2007-01-18,17,1216
2007-01-18,18,1362
2007-01-18,19,1540
2007-01-18,20,21
2007-01-18,23,10
2007-01-19,8,63
2007-01-19,9,52
2007-01-19,10,993
2007-01-19,11,848
2007-01-19,12,1074
2007-01-19,13,910
2007-01-19,14,1067
2007-01-19,15,862
2007-01-19,16,904
2007-01-19,17,1042
2007-01-19,18,76
2007-01-19,19,6
2007-01-19,23,5
2007-01-20,8,2
2007-01-20,9,16
2007-01-20,10,338
2007-01-20,11,291
2007-01-20,12,757
2007-01-20,13,676
2007-01-20,14,704
2007-01-20,15,355
2007-01-20,16,693
2007-01-20,17,846
2007-01-20,18,43
2007-01-20,19,1
2007-01-20,20,8
2007-01-21,9,5
2007-01-21,10,5
2007-01-21,11,15
2007-01-21,13,11
2007-01-21,14,118
2007-01-21,15,583
2007-01-21,16,757
2007-01-21,17,54
2007-01-21,20,2
2007-01-21,23,1
2007-01-22,8,190
2007-01-22,9,238
2007-01-22,10,212
2007-01-22,11,352
2007-01-22,12,551
2007-01-22,13,381
2007-01-22,14,478
2007-01-22,15,589
2007-01-22,16,532
2007-01-22,17,494
2007-01-22,18,636
2007-01-22,19,675
2007-01-22,20,39
2007-01-23,7,46
2007-01-23,8,115
2007-01-23,9,153
2007-01-23,10,226
2007-01-23,11,270
2007-01-23,12,359
2007-01-23,13,300
2007-01-23,14,150
2007-01-23,15,185
2007-01-23,16,287
2007-01-23,17,316
2007-01-23,18,643
2007-01-23,19,460
2007-01-23,20,57
2007-01-24,7,24
2007-01-24,8,90
2007-01-24,9,47
2007-01-24,10,227
2007-01-24,11,441
2007-01-24,12,263
2007-01-24,13,359
2007-01-24,14,250
2007-01-24,15,6
2007-01-24,16,106
2007-01-24,17,347
2007-01-24,18,381
2007-01-24,19,227
2007-01-24,20,35
2007-01-25,7,5
2007-01-25,8,392
2007-01-25,9,165
2007-01-25,10,230
2007-01-25,12,85
2007-01-25,13,17
2007-01-25,14,145
2007-01-25,15,104
2007-01-25,16,86
2007-01-25,17,269
2007-01-25,18,134
2007-01-25,19,102
2007-01-25,20,29
2007-01-26,8,60
2007-01-26,9,42
2007-01-26,10,23
2007-01-26,11,3
2007-01-26,12,10
2007-01-26,18,81
2007-01-26,19,2
2007-01-26,21,8
2007-02-13,13,2365
2007-02-13,14,2080
2007-02-13,15,2464
2007-02-13,16,2488
2007-02-13,17,2673
2007-02-13,18,2137
2007-02-13,19,2029
2007-02-13,20,22
2007-02-14,7,12
2007-02-14,8,216
2007-02-14,9,48
2007-02-14,10,997
2007-02-14,11,1828
2007-02-14,12,1686
2007-02-14,13,1856
2007-02-14,14,2071
2007-02-14,15,2180
2007-02-14,16,2360
2007-02-14,17,2622
2007-02-14,18,1936
2007-02-14,19,1694
2007-02-14,20,37
2007-02-15,8,109
2007-02-15,9,126
2007-02-15,10,1333
2007-02-15,11,1850
2007-02-15,12,1747
2007-02-15,13,1940
2007-02-15,14,2296
2007-02-15,15,2312
2007-02-15,16,2886
2007-02-15,17,3096
2007-02-15,18,2469
2007-02-15,19,1582
2007-02-15,20,35
2007-02-15,23,2
2007-02-16,0,15
2007-02-16,3,3
2007-02-16,7,26
2007-02-16,8,170
2007-02-16,9,78
2007-02-16,10,1195
2007-02-16,11,2064
2007-02-16,12,2202
2007-02-16,13,1922
2007-02-16,14,2227
2007-02-16,15,2893
2007-02-16,16,3110
2007-02-16,17,3704
2007-02-16,18,68
2007-02-16,23,4
2007-02-17,8,2
2007-02-17,9,22
2007-02-17,10,2054
2007-02-17,11,2456
2007-02-17,12,2820
2007-02-17,13,2529
2007-02-17,14,2931
2007-02-17,15,2892
2007-02-17,16,3095
2007-02-17,17,2544
2007-02-17,18,45
2007-02-18,10,3
2007-02-18,11,13
2007-02-18,12,1314
2007-02-18,13,2295
2007-02-18,14,2474
2007-02-18,15,2474
2007-02-18,16,2941
2007-02-18,17,453
2007-02-18,18,12
2007-02-19,10,1
2007-02-19,15,3
2007-02-19,17,4
2007-02-20,7,1
2007-02-20,8,247
2007-02-20,9,102
2007-02-20,10,404
2007-02-20,11,558
2007-02-20,12,671
2007-02-20,13,3224
2007-02-20,14,3554
2007-02-20,15,3349
2007-02-20,16,3514
2007-02-20,17,3388
2007-02-20,18,2707
2007-02-20,19,2229
2007-02-20,20,48
2007-02-21,6,3
2007-02-21,8,118
2007-02-21,9,86
2007-02-21,10,1621
2007-02-21,11,2090
2007-02-21,12,2417
