month,American_hustle,Grand_Budapest_Hotel,great_Gatsby,Silver_linings_playbook,TotalDrama,Cinderella,descendants,Frozen,Into_the_woods,TotalFantasy,12_years_a_slave,imitation_game,kings_speech,Lincoln,TotalHistory,Gravity,hunger_games,Interstellar,Star_trek_Into_darkness,TotalSciFi,AllTotal
0,0,0,16,0,16,20,0,0,1,21,0,0,148,0,148,9,0,0,0,9,194
1,0,0,16,0,16,25,0,0,4,29,0,0,150,0,150,13,0,0,0,13,208
2,0,0,20,0,20,25,47,0,2,74,0,0,148,1,149,7,0,0,0,7,250
3,0,0,26,0,26,24,211,0,2,237,0,0,149,1,150,10,0,0,0,10,423
4,0,0,27,0,27,30,182,0,3,215,0,0,199,1,200,6,0,0,0,6,448
5,0,0,24,0,24,28,183,0,1,212,0,0,180,1,181,6,0,0,0,6,423
6,0,0,18,0,18,25,195,0,5,225,0,0,181,0,181,9,0,0,0,9,433
7,0,0,27,0,27,16,154,0,3,173,0,0,144,1,145,6,86,0,0,92,437
8,0,0,19,0,19,21,147,0,2,170,0,0,169,1,170,5,160,0,0,165,524
9,0,0,16,0,16,20,170,0,4,194,0,0,175,1,176,5,161,0,0,166,552
10,0,0,20,0,20,25,174,0,4,203,0,0,153,2,155,8,166,0,0,174,552
11,0,0,20,0,20,39,196,0,1,236,0,0,148,1,149,7,184,0,0,191,596
12,0,0,19,0,19,65,212,0,1,278,0,0,141,0,141,9,211,0,0,220,658
13,0,0,16,0,16,64,186,0,0,250,0,0,132,0,132,7,234,0,0,241,639
14,0,0,14,0,14,64,210,0,2,276,0,0,151,84,235,4,283,0,0,287,812
15,0,0,23,5,28,54,166,0,3,223,0,0,122,254,376,7,296,0,0,303,930
16,0,0,16,417,433,60,143,0,2,205,0,0,98,268,366,6,258,0,0,264,1268
17,0,0,22,306,328,58,123,0,4,185,0,0,88,271,359,8,222,0,0,230,1102
18,0,0,43,324,367,62,124,0,2,188,0,0,86,301,387,6,227,0,0,233,1175
19,0,0,185,323,508,56,105,0,3,164,0,0,87,300,387,4,210,0,0,214,1273
20,0,0,266,287,553,42,112,0,2,156,0,0,74,263,337,3,200,0,184,387,1433
21,0,0,266,300,566,54,102,0,3,159,0,0,88,254,342,6,159,0,252,417,1484
22,0,0,304,306,610,50,86,0,2,138,0,0,72,293,365,7,132,0,238,377,1490
23,0,0,274,268,542,34,78,0,4,116,0,0,80,213,293,6,128,0,249,383,1334
24,0,0,309,250,559,42,102,0,2,146,0,0,81,236,317,10,158,0,250,418,1440
25,0,0,282,232,514,39,83,0,0,122,0,0,67,191,258,129,139,0,226,494,1388
26,226,0,289,260,775,42,83,91,0,216,270,0,81,220,571,334,135,0,240,709,2271
27,399,0,232,212,843,48,84,218,0,350,399,0,70,192,661,328,114,0,208,650,2504
28,385,0,210,136,731,34,74,272,0,380,335,0,72,115,522,323,117,0,183,623,2256
29,369,196,234,105,904,31,68,266,0,365,324,0,65,109,498,306,107,0,216,629,2396
30,378,299,232,93,1002,43,55,253,0,351,296,0,65,91,452,284,94,0,189,567,2372
31,317,263,186,100,866,38,65,226,0,329,300,0,60,104,464,265,88,0,160,513,2172
32,268,259,183,83,793,34,50,235,0,319,291,0,58,94,443,275,81,0,137,493,2048
33,308,294,177,91,870,37,46,249,0,332,270,0,49,79,398,274,68,0,134,476,2076
34,244,241,148,80,713,32,50,245,17,344,217,0,53,72,342,239,64,0,127,430,1829
