title,deweyClass,Counts,STD,Average,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
How to cook everything vegetarian simple meatless recipes for great food,641.5636,2255,18.64611339,15.52777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,29,36,52,62,53,62,58,58,75,54,52,51,39,44,50,59,50,63,56,40,23,18,21,25,28,28,47,37,40,46,29,34,32,24,29,47,31,38,29,32,26,27,17,12,13,13,16,8,11,15,7,13,6,7,12,11,6,13,10,13,6,13,11,7,11,13,13,7,9,6,11,5,6,4,4,9,6,4,4,4,5,5,3,2,4,4,4,4,4,5,2,3,3,3,3,4,3,6,2,3,4,0,4,1,2,1,3,3,2,2,3,0,3,3,3,3,7,0,0,0,0
Veganomicon the ultimate vegan cookbook,641.5636,2248,17.37237288,15.43055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,10,29,57,39,41,64,63,64,48,46,56,42,59,49,44,43,39,27,35,41,25,40,43,31,40,31,39,45,28,44,16,34,14,39,22,28,39,28,60,39,20,35,25,12,9,19,9,11,18,18,11,13,11,14,10,9,10,11,12,10,13,17,11,8,8,11,11,8,5,11,9,4,8,8,10,7,6,4,5,8,6,5,4,4,3,10,3,3,2,5,6,4,6,5,6,4,6,7,4,4,5,3,0,4,3,6,3,2,6,1,0,5,2,1,2,3,1,0,0,0
kind diet a simple guide to feeling great losing weight and saving the planet,641.5636,1734,23.35642796,11.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,42,45,73,90,91,96,137,103,94,55,67,30,30,43,47,42,36,33,42,25,18,10,10,11,12,18,12,10,17,13,12,6,8,17,15,8,9,10,9,9,8,6,5,10,2,7,3,5,7,6,6,7,8,5,5,4,7,5,6,4,4,3,1,4,4,3,0,4,1,2,2,1,1,3,4,2,1,3,1,0,1,2,0,0,2,0,0,2,0,1,4,3,2,3,1,1,0
Feeding the whole family cooking with whole foods recipes for babies young children and their parents,641.5636,1588,13.76166419,10.90972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,25,15,24,47,33,38,32,35,16,44,35,23,36,24,58,21,29,19,33,28,43,28,31,32,38,27,34,26,46,21,27,24,32,33,20,44,30,33,23,27,12,9,6,12,7,6,8,8,8,5,6,5,4,5,7,5,3,7,6,8,7,4,6,3,4,9,15,6,3,6,5,7,3,7,4,3,3,5,2,3,2,2,6,6,5,3,2,3,4,4,1,1,1,1,0,3,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh food from small spaces the square inch gardeners guide to year round growing fermenting and sprouting,635,1572,17.34350607,10.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,20,44,35,58,65,59,65,66,49,69,56,36,46,49,62,46,43,33,46,17,11,15,9,14,23,32,43,30,21,17,11,13,6,5,3,3,11,12,15,9,7,9,8,3,8,7,4,4,8,5,14,6,8,8,2,5,6,1,0,0,4,6,9,2,10,5,4,3,1,2,2,2,2,1,5,7,5,6,3,3,0,2,1,3,3,2,5,1,1,1,0,1,0,1,0,0,2,0,2,0,4,2,0,1,4,0,0,0
All new square foot gardening grow more in less space,635,1471,12.66816754,9.993055556,0,0,4,3,13,10,4,7,8,9,7,8,3,10,12,6,14,15,14,14,9,11,6,10,12,17,10,15,18,24,19,19,15,12,13,11,22,11,18,22,26,48,40,35,21,14,13,15,31,37,58,68,44,34,32,13,17,8,7,15,24,33,53,43,20,20,7,13,4,2,3,6,9,9,17,13,10,8,8,3,5,4,1,1,8,9,9,6,7,2,2,2,3,0,1,0,2,1,3,3,4,1,1,0,2,1,1,0,1,0,4,3,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,4,0,0,0,0
Cafe Flora cookbook,641.5636,1408,8.197257297,9.722222222,30,24,29,25,27,27,32,39,30,35,13,9,20,12,14,9,13,12,15,7,12,11,24,11,22,12,12,12,19,18,6,18,17,11,14,17,18,23,27,13,12,11,16,13,12,14,7,14,21,10,25,14,14,15,17,18,8,14,19,13,5,15,17,12,8,10,6,9,5,7,9,4,7,7,7,5,7,9,5,8,3,7,6,9,7,7,6,3,6,8,3,2,4,3,4,5,7,4,4,2,4,4,4,3,3,4,1,4,3,3,2,3,4,3,1,3,4,4,4,2,3,4,2,3,4,2,3,2,4,1,3,3,0,2,3,2,2,2,0,2,1,0,0,1
Vegetarian cooking for everyone,641.5636,1292,8.774828798,8.951388889,13,6,7,6,22,11,14,16,7,12,10,7,9,24,9,4,9,27,18,10,9,19,22,11,34,7,16,9,16,24,24,23,12,26,19,19,29,23,16,17,19,15,24,26,19,20,14,6,30,23,16,21,14,16,15,7,21,20,39,15,13,8,15,28,11,13,6,4,3,5,3,6,9,7,2,8,5,9,3,7,3,2,5,7,5,6,5,8,5,8,5,7,4,5,3,4,1,3,4,5,2,6,0,1,1,2,1,0,1,0,2,0,0,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,0,0,1,1
new low maintenance garden how to have a beautiful productive garden and the time to enjoy it,635,1281,15.42190738,8.729166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,74,48,68,69,61,70,62,41,20,32,12,19,13,19,25,29,16,28,14,5,11,8,8,3,7,12,9,11,11,10,10,10,8,8,6,4,8,11,19,8,11,10,8,15,8,7,1,4,4,5,12,7,5,5,3,5,3,6,0,6,4,5,5,11,8,2,6,12,6,5,4,1,2,5,5,9,3,6,3,4,4,5,2,1,0,1,6,4,9,4,3,3,4,3,1,1
Super natural every day well loved recipes from my natural foods kitchen,641.5636,1072,11.16040252,7.180555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,52,67,66,29,23,27,28,27,16,26,28,24,24,16,15,14,19,9,15,16,12,16,19,13,18,12,16,14,10,16,8,11,14,9,11,8,9,8,6,8,7,11,7,5,8,6,7,5,6,9,6,11,10,11,9,7,8,3,7,8,4,5,6,5,6,4,5,4,5,3,3,2,5,2,3,5,2,3,1,0
