title,Dewey,Counts,Average,Standard Dev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Animal vegetable miracle a year of food life,0.0973,5849,481.25,668.8130769,0,1091,2127,1131,763,311,122,72,48,49,47,14
homemade life stories and recipes from my kitchen table,0.5092,3393,278.5833333,400.3360993,0,0,0,1131,1041,493,155,127,174,102,73,47
My life in France,0.5092,3246,266.9166667,266.2532828,529,357,299,683,757,270,137,61,34,23,23,30
Artisan bread in five minutes a day the discovery that revolutionizes home baking,0.815,2880,236.4166667,296.659725,0,30,434,855,730,367,164,136,66,25,22,8
Kitchen confidential adventures in the culinary underbelly,0.5092,2879,236.5833333,216.3525987,267,389,449,506,558,413,142,52,27,26,10,0
All in just one cookie,0.8654,2642,219.8333333,167.080184,13,50,421,508,405,319,253,244,200,113,74,38
art of simple food notes lessons and recipes from a delicious revolution,0.5,2437,199.75,228.4024061,0,107,788,490,303,194,127,126,97,62,60,43
How to cook everything vegetarian simple meatless recipes for great food,0.5636,2255,186.3333333,215.4772012,0,59,652,477,424,242,119,112,54,42,31,24
Veganomicon the ultimate vegan cookbook,0.5636,2248,185.1666667,193.9272747,0,38,559,476,380,306,147,116,75,57,47,21
Nourishing traditions the cookbook that challenges politically correct nutrition and the diet dictocrats,0.5,2219,182.1666667,123.1487152,102,176,257,359,445,264,113,136,91,108,86,49
Anthony Bourdain no reservations,0.013,2152,178,205.0348086,0,149,648,417,358,247,144,118,53,2,0,0
Julie and Julia 365 days 524 recipes 1 tiny apartment kitchen how one girl risked her marriage her job and her sanity to master the art of living,0.5092,2148,176.0833333,214.3278959,575,256,342,567,189,65,34,17,28,16,16,8
Barefoot Contessa at home everyday recipes youll make over and over again,0.5,1978,163.75,149.2314401,47,376,351,384,309,193,96,72,53,39,19,26
Mastering the art of French cooking Volume 1,0.5944,1922,158.1666667,148.1865123,98,121,108,357,538,219,130,104,76,60,51,36
Garlic and sapphires the secret life of a critic in disguise,0.5092,1895,154.1666667,171.6994379,517,269,269,315,285,113,64,11,7,0,0,0
Heat an amateurs adventures as kitchen slave line cook pasta maker and apprentice to a Dante quoting butcher in Tuscany,0.59455,1832,148.1666667,189.6651755,465,566,253,188,108,98,29,17,19,16,12,7
Medium raw a bloody valentine to the world of food and the people who cook,0.5092,1798,144.1666667,261.4810382,0,0,0,0,829,533,127,85,55,47,35,19
Anthony Bourdain no reservations Collection 2,0.013,1784,146.6666667,164.8687265,0,0,404,439,352,209,128,106,58,49,15,0
Barefoot Contessa back to basics fabulous flavor from simple ingredients,0.5,1769,144.9166667,192.3951702,0,0,91,663,357,223,122,90,79,58,28,28
nasty bits collected varietal cuts usable trim scraps and bones,0.5092,1752,143.25,147.9595307,402,380,252,227,216,124,53,27,15,13,7,3
Wild fermentation the flavor nutrition and craft of live culture foods,0.7,1751,143.9166667,87.90744961,65,84,174,240,286,280,121,136,156,117,53,15
kind diet a simple guide to feeling great losing weight and saving the planet,0.5636,1734,139.5,260.1190287,0,0,0,79,911,329,145,81,67,26,19,17
Jiro dreams of sushi,0.5092,1722,143.4166667,204.968937,0,0,0,0,0,0,324,657,319,212,148,61
Splendid tables how to eat supper recipes stories and opinions from public radios award winning food show,0.53,1688,137.5833333,198.3694709,0,0,634,429,198,143,86,63,45,22,16,15
Anthony Bourdain no reservations Collection 3,0.013,1666,137.3333333,159.8029089,0,0,323,455,351,213,129,87,48,23,16,3
sweet life in Paris delicious adventures in the worlds most glorious and perplexing city,0.013,1644,135.0833333,161.195228,0,0,0,383,435,346,153,93,84,95,32,0
On food and cooking the science and lore of the kitchen,0.5,1644,135.8333333,96.60023841,199,170,251,246,271,211,52,67,45,51,36,31
Blood bones butter the inadvertent education of a reluctant chef,0.5092,1631,131.1666667,225.8864692,0,0,0,0,0,781,330,139,112,107,57,48
Urban pantry tips recipes for a thrifty sustainable seasonal kitchen,0.5,1629,131.9166667,215.5780636,0,0,0,0,572,593,142,110,78,38,34,16
Deceptively delicious simple secrets to get your kids eating good foods,0.5973,1600,129.6666667,180.3231107,0,177,638,199,237,131,75,40,20,14,11,14
Feeding the whole family cooking with whole foods recipes for babies young children and their parents,0.5636,1588,130.9166667,153.3862968,0,0,309,393,366,256,70,78,50,38,11,0
sharper your knife the less you cry love laughter and tears at the worlds most famous cooking school,0.07,1553,127.3333333,171.9330384,0,114,532,414,183,102,66,45,37,25,6,4
How to cook everything 2000 simple recipes for great food,0.5,1542,126.5,149.1969412,0,0,128,471,374,169,105,106,60,54,34,17
