cin,cout,title,deweyClass
"2006-03-02 12:07:00","2005-10-06 14:22:00","Artificial intelligence a modern approach",006.3
"2006-04-25 14:39:00","2006-04-13 15:02:00","Artificial intelligence a modern approach",006.3
"2006-06-23 12:09:00","2006-04-21 12:48:00","Prolog programming for artificial intelligence",006.30285
"2006-06-28 19:13:00","2006-06-26 17:03:00","Artificial intelligence",006.3
"2006-07-17 12:12:00","2006-06-26 17:03:00","Artificial intelligence",006.3
"2006-07-31 19:33:00","2006-05-25 18:47:00","Artificial intelligence a modern approach",006.3
"2006-08-17 14:47:00","2006-07-24 14:39:00","Artificial intelligence",006.3
"2006-08-22 13:19:00","2006-08-14 15:56:00","Artificial intelligence",006.3
"2006-09-05 16:42:00","2006-07-03 17:57:00","Mind matters exloring the world of artificial intelligence",006.301
"2006-09-18 16:38:00","2006-09-08 10:27:00","Artificial intelligence programming for the Macintosh",005.265
"2006-09-18 18:48:00","2006-09-15 17:51:00","Artificial intelligence",006.3
"2006-09-23 10:30:00","2006-09-10 15:27:00","Mind tools the science of artificial intelligence",006.3
"2006-10-24 15:42:00","2006-05-25 18:47:00","Artificial intelligence a modern approach",006.3
"2006-12-11 19:34:00","2006-10-24 16:52:00","Artificial intelligence a modern approach",006.3
"2006-12-12 13:10:00","2006-10-24 16:52:00","Artificial intelligence a modern approach",006.3
"2007-01-04 13:08:00","2006-12-12 19:36:00","Artificial intelligence a modern approach",006.3
"2007-01-11 15:03:00","2007-01-02 13:18:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2007-02-14 08:57:00","2007-02-09 16:59:00","Artificial intelligence a modern approach",006.3
"2007-02-14 11:08:00","2007-02-09 16:59:00","Artificial intelligence a modern approach",006.3
"2007-02-15 12:01:00","2007-02-09 16:59:00","Artificial intelligence a modern approach",006.3
"2007-02-21 09:34:00","2006-04-21 12:48:00","Prolog programming for artificial intelligence",006.30285
"2007-02-24 13:05:00","2007-02-17 13:14:00","Artificial intelligence",006.3
"2007-03-01 10:27:00","2007-02-03 14:23:00","Artificial intelligence",006.3
"2007-03-20 19:36:00","2007-02-21 13:18:00","Prolog programming for artificial intelligence",006.30285
"2007-04-06 11:27:00","2007-03-31 16:52:00","Prolog programming for artificial intelligence",006.30285
"2007-04-18 19:16:00","2007-02-15 19:22:00","Artificial intelligence a modern approach",006.3
"2007-06-28 12:20:00","2006-09-10 15:27:00","Mind tools the science of artificial intelligence",006.3
"2007-06-28 12:45:00","2007-02-03 14:23:00","Artificial intelligence",006.3
"2007-07-05 15:00:00","2007-07-05 14:59:00","Artificial intelligence",006.3
"2007-07-06 11:32:00","2007-01-21 15:53:00","Artificial intelligence theory logic and application",006.3
"2007-07-09 15:40:00","2007-07-09 15:40:00","Heuristic reasoning about uncertainty an artificial intelligence approach",001.539
"2007-07-10 12:21:00","2006-09-05 19:21:00","Mind matters exloring the world of artificial intelligence",006.301
"2007-07-10 16:15:00","2007-07-10 16:15:00","Artificial intelligence theory logic and application",006.3
"2007-07-12 19:53:00","2007-06-21 18:36:00","Artificial intelligence a modern approach",006.3
"2007-07-13 13:22:00","2007-07-10 16:16:00","Mind language machine artificial intelligence in the poststructuralist age",006.3
"2007-07-17 14:16:00","2007-06-21 18:36:00","Artificial intelligence a modern approach",006.3
"2007-07-17 15:47:00","2007-07-17 15:31:00","Mind matters exloring the world of artificial intelligence",006.301
"2007-07-18 10:59:00","2007-06-21 18:36:00","Artificial intelligence a modern approach",006.3
"2007-07-23 11:19:00","2005-10-03 13:02:00","cognitive computer on language learning and artificial intelligence",006.35
"2007-07-24 10:17:00","2005-10-03 13:02:00","cognitive computer on language learning and artificial intelligence",006.35
"2007-07-28 14:35:00","2007-06-28 13:26:00","Mind tools the science of artificial intelligence",006.3
"2007-07-28 14:36:00","2007-06-28 13:27:00","Artificial intelligence",006.3
"2007-08-01 10:20:00","2007-06-28 13:26:00","Mind tools the science of artificial intelligence",006.3
"2007-08-02 13:13:00","2007-08-02 13:06:00","Mind tools the science of artificial intelligence",006.3
"2007-08-08 18:34:00","2007-07-18 12:29:00","Artificial intelligence a modern approach",006.3
"2007-08-10 14:21:00","2007-07-28 15:38:00","cognitive computer on language learning and artificial intelligence",006.35
"2007-08-13 12:08:00","2007-07-18 12:29:00","Artificial intelligence a modern approach",006.3
"2007-08-14 11:57:00","2007-07-18 12:29:00","Artificial intelligence a modern approach",006.3
"2007-08-20 16:27:00","2007-07-05 15:00:00","Prolog programming for artificial intelligence",006.30285
"2007-08-21 18:45:00","2007-08-02 13:06:00","Mind tools the science of artificial intelligence",006.3
"2007-08-22 16:19:00","2007-08-02 13:06:00","Mind tools the science of artificial intelligence",006.3
"2007-08-23 13:42:00","2007-07-05 15:00:00","Prolog programming for artificial intelligence",006.30285
"2007-09-07 10:12:00","2007-08-16 19:35:00","Artificial intelligence a modern approach",006.3
"2007-09-11 13:57:00","2007-08-16 19:35:00","Artificial intelligence a modern approach",006.3
"2007-09-12 13:16:00","2007-08-16 19:35:00","Artificial intelligence a modern approach",006.3
"2007-09-24 19:55:00","2007-08-16 19:35:00","Artificial intelligence a modern approach",006.3
"2007-09-25 12:19:00","2007-08-16 19:35:00","Artificial intelligence a modern approach",006.3
"2007-10-17 18:11:00","2007-09-25 18:45:00","Artificial intelligence a modern approach",006.3
"2007-10-19 23:07:00","2007-09-25 18:45:00","Artificial intelligence a modern approach",006.3
"2007-11-06 11:09:00","2007-06-28 13:27:00","Artificial intelligence",006.3
"2007-11-12 18:35:00","2007-10-22 19:22:00","Artificial intelligence a modern approach",006.3
"2007-11-13 13:19:00","2007-10-22 19:22:00","Artificial intelligence a modern approach",006.3
"2007-11-13 16:05:00","2007-08-23 14:32:00","Prolog programming for artificial intelligence",006.30285
"2007-11-14 12:54:00","2007-10-22 19:22:00","Artificial intelligence a modern approach",006.3
