cin,cout,title,deweyClass
"2006-01-10 11:36:00","2005-12-13 16:12:00","Algorithms in C",005.133
"2006-01-13 12:24:00","2005-10-08 14:51:00","Algorithms for graphics and image processing",001.55
"2006-01-28 16:55:00","2006-01-07 15:33:00","Algorithms in C",005.133
"2006-02-02 12:38:00","2006-01-09 19:50:00","Data mining concepts models methods and algorithms",005.741
"2006-02-03 16:27:00","2006-01-13 13:41:00","Algorithms in C",005.133
"2006-02-04 09:30:00","2006-01-07 15:33:00","Algorithms in C",005.133
"2006-02-08 11:48:00","2006-01-13 13:41:00","Algorithms in C",005.133
"2006-02-09 15:50:00","2006-02-05 16:42:00","Algorithms in C",005.133
"2006-02-21 11:08:00","2006-02-05 16:42:00","Algorithms in C",005.133
"2006-03-01 16:22:00","2006-02-08 18:46:00","Data mining concepts models methods and algorithms",005.741
"2006-03-04 17:27:00","2006-02-11 17:40:00","Algorithms in C",005.133
"2006-03-08 18:13:00","2006-02-11 17:40:00","Algorithms in C",005.133
"2006-03-31 10:20:00","2006-03-10 12:19:00","Data mining concepts models methods and algorithms",005.741
"2006-03-31 11:08:00","2006-03-10 12:19:00","Data mining concepts models methods and algorithms",005.741
"2006-04-11 18:35:00","2006-03-22 10:45:00","Algorithms in C",005.133
"2006-04-14 18:31:00","2006-04-03 19:18:00","Data mining concepts models methods and algorithms",005.741
"2006-04-21 12:00:00","2006-04-18 13:30:00","Data mining concepts models methods and algorithms",005.741
"2006-04-24 15:22:00","2006-01-21 17:14:00","Mastering algorithms with Perl",005.131
"2006-05-05 20:24:00","2006-04-15 14:24:00","Algorithms in C",005.133
"2006-05-08 13:43:00","2006-04-15 14:24:00","Algorithms in C",005.133
"2006-06-05 16:11:00","2006-05-17 17:44:00","Mastering algorithms with Perl",005.131
"2006-06-14 12:12:00","2006-05-17 17:44:00","Mastering algorithms with Perl",005.131
"2006-06-18 16:01:00","2006-05-15 18:55:00","Data mining concepts models methods and algorithms",005.741
"2006-06-18 16:21:00","2006-05-27 17:02:00","Algorithms in C",005.133
"2006-06-20 10:28:00","2006-05-15 18:55:00","Data mining concepts models methods and algorithms",005.741
"2006-06-20 12:23:00","2006-05-27 17:02:00","Algorithms in C",005.133
"2006-06-22 14:05:00","2006-06-14 15:17:00","Mastering algorithms with Perl",005.131
"2006-07-08 11:01:00","2006-06-12 18:04:00","Algorithms in C",005.133
"2006-07-11 17:24:00","2006-06-21 18:09:00","Algorithms in C",005.133
"2006-07-13 17:06:00","2006-06-21 18:09:00","Algorithms in C",005.133
"2006-07-14 15:00:00","2006-06-20 15:47:00","Data mining concepts models methods and algorithms",005.741
"2006-07-27 13:19:00","2006-06-20 15:47:00","Data mining concepts models methods and algorithms",005.741
"2006-07-31 16:34:00","2006-06-21 18:09:00","Algorithms in C",005.133
"2006-07-31 17:22:00","2006-07-27 14:06:00","Data mining concepts models methods and algorithms",005.741
"2006-08-06 16:10:00","2006-07-31 19:13:00","Algorithms in C",005.133
"2006-08-08 15:27:00","2006-07-27 14:06:00","Data mining concepts models methods and algorithms",005.741
"2006-08-12 13:55:00","2006-07-16 16:37:00","Mastering algorithms with Perl",005.131
"2006-08-22 09:31:00","2006-07-27 14:06:00","Data mining concepts models methods and algorithms",005.741
"2006-09-05 17:40:00","2006-08-14 17:17:00","Mastering algorithms with Perl",005.131
"2006-09-05 17:40:00","2006-08-14 17:17:00","Algorithms in C",005.133
"2006-09-06 12:56:00","2006-08-14 17:17:00","Mastering algorithms with Perl",005.131
"2006-09-13 12:52:00","2006-08-24 11:48:00","Data mining concepts models methods and algorithms",005.741
"2006-09-14 11:20:00","2006-08-24 11:48:00","Data mining concepts models methods and algorithms",005.741
"2006-10-02 19:27:00","2006-08-26 16:30:00","Algorithms in C",005.133
"2006-10-04 13:36:00","2006-08-26 16:30:00","Algorithms in C",005.133
"2006-10-13 13:33:00","2006-10-13 13:24:00","Algorithms in C",005.133
"2006-10-18 22:19:00","2006-09-08 14:07:00","Mastering algorithms with Perl",005.131
"2006-10-20 13:49:00","2006-09-08 14:07:00","Mastering algorithms with Perl",005.131
"2006-10-25 10:52:00","2006-09-13 15:17:00","Algorithms in C",005.133
"2006-11-08 19:09:00","2006-09-14 14:50:00","Data mining concepts models methods and algorithms",005.741
"2006-12-14 19:10:00","2006-11-08 19:54:00","Data mining concepts models methods and algorithms",005.741
"2006-12-18 17:26:00","2006-11-08 19:54:00","Data mining concepts models methods and algorithms",005.741
"2006-12-28 13:34:00","2006-12-20 16:47:00","Data mining concepts models methods and algorithms",005.741
"2006-12-31 15:59:00","2006-12-21 16:18:00","Mastering algorithms with Perl",005.131
"2007-01-02 23:57:00","2006-12-20 16:47:00","Data mining concepts models methods and algorithms",005.741
"2007-02-13 16:49:00","2007-02-03 17:15:00","Algorithms in C",005.133
"2007-02-14 10:47:00","2007-02-03 17:15:00","Algorithms in C",005.133
"2007-02-20 19:53:00","2007-01-08 13:00:00","Data mining concepts models methods and algorithms",005.741
"2007-02-26 10:56:00","2007-01-08 13:00:00","Data mining concepts models methods and algorithms",005.741
"2007-03-06 16:52:00","2007-03-01 11:10:00","Data mining concepts models methods and algorithms",005.741
"2007-03-29 10:02:00","2007-02-04 17:04:00","Algorithms in C",005.133
"2007-03-29 10:02:00","2007-02-04 17:04:00","Mastering algorithms with Perl",005.131
"2007-04-09 12:40:00","2007-02-04 17:04:00","Algorithms in C",005.133
"2007-04-10 12:48:00","2007-02-04 17:04:00","Algorithms in C",005.133
"2007-04-17 18:52:00","2007-02-20 13:55:00","Algorithms in C",005.133
"2007-04-18 12:29:00","2007-02-20 13:55:00","Algorithms in C",005.133
"2007-04-23 17:44:00","2007-03-19 19:21:00","Data mining concepts models methods and algorithms",005.741
"2007-05-22 10:33:00","2007-05-15 12:38:00","Algorithms in C",005.133
"2007-05-29 14:12:00","2007-05-15 12:38:00","Algorithms in C",005.133
"2007-05-29 17:17:00","2007-05-03 13:49:00","Mastering algorithms with Perl",005.131
"2007-07-08 17:37:00","2007-06-03 17:55:00","Data mining concepts models methods and algorithms",005.741
"2007-07-10 19:13:00","2007-06-05 19:54:00","Algorithms in C",005.133
"2007-07-11 13:14:00","2007-06-03 17:55:00","Data mining concepts models methods and algorithms",005.741
"2007-07-13 18:45:00","2007-06-05 19:54:00","Algorithms in C",005.133
"2007-07-23 14:17:00","2007-07-01 14:36:00","Mastering algorithms with Perl",005.131
"2007-07-25 23:39:00","2007-07-01 14:36:00","Mastering algorithms with Perl",005.131
"2007-07-27 11:08:00","2007-07-01 14:36:00","Mastering algorithms with Perl",005.131
"2007-08-06 13:16:00","2006-01-14 14:55:00","Algorithms for graphics and image processing",001.55
"2007-08-09 12:34:00","2007-07-16 19:54:00","Data mining concepts models methods and algorithms",005.741
"2007-08-10 14:17:00","2007-07-27 12:13:00","Mastering algorithms with Perl",005.131
"2007-08-21 14:59:00","2007-08-07 19:49:00","Algorithms in C",005.133
"2007-09-19 14:12:00","2007-08-23 11:27:00","Algorithms in C",005.133
"2007-10-01 16:49:00","2007-06-18 19:57:00","Algorithms in C",005.133
"2007-10-01 17:50:00","2007-08-10 14:07:00","Data mining concepts models methods and algorithms",005.741
"2007-10-08 10:55:00","2007-08-10 14:07:00","Data mining concepts models methods and algorithms",005.741
"2007-11-07 12:23:00","2007-10-12 10:41:00","Data mining concepts models methods and algorithms",005.741
"2007-11-07 19:17:00","2007-10-02 13:07:00","Mastering algorithms with Perl",005.131
"2007-11-08 12:07:00","2007-10-12 10:41:00","Data mining concepts models methods and algorithms",005.741
"2007-11-13 11:33:00","2007-10-02 17:42:00","Algorithms in C",005.133
"2007-11-14 10:51:00","2007-10-02 17:42:00","Algorithms in C",005.133
"2007-12-11 15:16:00","2007-11-15 13:29:00","Data mining concepts models methods and algorithms",005.741
