cin,cout,title,deweyClass
"2006-02-02 12:38:00","2006-01-09 19:50:00","Data mining concepts models methods and algorithms",005.741
"2006-02-10 11:22:00","2005-12-08 16:36:00","Data mining your website",006.3
"2006-02-23 17:14:00","2006-02-23 17:06:00","Data mining your website",006.3
"2006-03-01 16:22:00","2006-02-08 18:46:00","Data mining concepts models methods and algorithms",005.741
"2006-03-13 18:08:00","2006-02-04 11:56:00","Data mining your website",006.3
"2006-03-16 19:28:00","2006-02-14 18:16:00","Data mining practical machine learning tools and techniques",006.3
"2006-03-26 15:47:00","2006-03-23 19:57:00","Data mining your website",006.3
"2006-03-27 15:42:00","2005-12-03 16:49:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-03-29 13:49:00","2006-02-23 17:06:00","Data mining your website",006.3
"2006-03-31 10:20:00","2006-03-10 12:19:00","Data mining concepts models methods and algorithms",005.741
"2006-03-31 11:08:00","2006-03-10 12:19:00","Data mining concepts models methods and algorithms",005.741
"2006-03-31 14:56:00","2006-02-10 17:57:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-04-03 11:05:00","2006-02-10 17:57:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-04-05 18:25:00","2006-03-30 18:35:00","Data mining your website",006.3
"2006-04-11 11:14:00","2006-03-21 14:45:00","Data mining your website",006.3
"2006-04-11 18:22:00","2006-03-21 19:57:00","Data mining practical machine learning tools and techniques",006.3
"2006-04-14 18:31:00","2006-04-03 19:18:00","Data mining concepts models methods and algorithms",005.741
"2006-04-21 12:00:00","2006-04-18 13:30:00","Data mining concepts models methods and algorithms",005.741
"2006-04-22 20:57:00","2006-03-21 19:57:00","Data mining practical machine learning tools and techniques",006.3
"2006-04-25 13:30:00","2006-03-21 19:57:00","Data mining practical machine learning tools and techniques",006.3
"2006-05-08 12:29:00","2006-03-30 18:35:00","Data mining your website",006.3
"2006-05-25 10:49:00","2006-04-05 11:09:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-05-25 13:30:00","2006-03-23 19:57:00","Data mining your website",006.3
"2006-05-26 10:27:00","2006-04-05 18:16:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-05-27 11:15:00","2006-04-27 17:07:00","Data mining practical machine learning tools and techniques",006.3
"2006-06-05 15:24:00","2006-04-21 13:18:00","Data mining your website",006.3
"2006-06-14 14:13:00","2006-04-19 15:28:00","Data mining your website",006.3
"2006-06-18 16:01:00","2006-05-15 18:55:00","Data mining concepts models methods and algorithms",005.741
"2006-06-20 10:28:00","2006-05-15 18:55:00","Data mining concepts models methods and algorithms",005.741
"2006-06-21 15:24:00","2006-05-27 14:17:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-06-23 16:52:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-06-29 10:49:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-06 17:44:00","2006-05-17 17:34:00","Data mining your website",006.3
"2006-07-12 11:35:00","2006-04-05 11:09:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-07-12 19:12:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-13 15:10:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-14 13:29:00","2006-06-24 13:48:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-07-14 15:00:00","2006-06-20 15:47:00","Data mining concepts models methods and algorithms",005.741
"2006-07-19 11:55:00","2006-06-24 13:48:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-07-21 19:53:00","2006-04-19 15:28:00","Data mining your website",006.3
"2006-07-22 15:27:00","2006-07-15 10:15:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-24 11:39:00","2006-04-19 15:28:00","Data mining your website",006.3
"2006-07-25 11:29:00","2006-07-15 10:15:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-27 13:19:00","2006-06-20 15:47:00","Data mining concepts models methods and algorithms",005.741
"2006-07-31 17:22:00","2006-07-27 14:06:00","Data mining concepts models methods and algorithms",005.741
"2006-08-03 13:48:00","2006-06-24 13:48:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-08-08 15:27:00","2006-07-27 14:06:00","Data mining concepts models methods and algorithms",005.741
"2006-08-17 12:06:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-08-22 09:31:00","2006-07-27 14:06:00","Data mining concepts models methods and algorithms",005.741
"2006-08-24 12:13:00","2006-07-20 11:01:00","Data mining your website",006.3
"2006-09-13 12:52:00","2006-08-24 11:48:00","Data mining concepts models methods and algorithms",005.741
"2006-09-14 11:20:00","2006-08-24 11:48:00","Data mining concepts models methods and algorithms",005.741
"2006-09-18 13:12:00","2006-08-26 15:16:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-09-19 13:41:00","2006-08-26 15:16:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-09-19 14:54:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-09-26 19:07:00","2006-08-03 17:54:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-09-29 10:01:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-10-02 15:26:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-04 16:43:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-08 14:37:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-08 19:09:00","2006-09-14 14:50:00","Data mining concepts models methods and algorithms",005.741
"2006-11-18 11:49:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-20 13:03:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-20 19:31:00","2006-09-28 17:35:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2006-12-14 19:10:00","2006-11-08 19:54:00","Data mining concepts models methods and algorithms",005.741
"2006-12-15 12:03:00","2006-11-20 19:40:00","Data mining practical machine learning tools and techniques",006.3
"2006-12-18 17:26:00","2006-11-08 19:54:00","Data mining concepts models methods and algorithms",005.741
"2006-12-20 22:00:00","2006-11-08 19:28:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-12-21 11:50:00","2006-11-08 19:28:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-12-27 11:08:00","2006-11-20 19:40:00","Data mining practical machine learning tools and techniques",006.3
"2006-12-28 12:33:00","2006-11-20 19:40:00","Data mining practical machine learning tools and techniques",006.3
"2006-12-28 13:34:00","2006-12-20 16:47:00","Data mining concepts models methods and algorithms",005.741
"2007-01-02 23:57:00","2006-12-20 16:47:00","Data mining concepts models methods and algorithms",005.741
"2007-01-17 13:02:00","2006-07-20 11:01:00","Data mining your website",006.3
"2007-02-14 18:29:00","2007-01-24 14:56:00","Data mining your website",006.3
"2007-02-15 12:39:00","2006-11-08 19:28:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-02-20 19:53:00","2007-01-08 13:00:00","Data mining concepts models methods and algorithms",005.741
"2007-02-26 10:56:00","2007-01-08 13:00:00","Data mining concepts models methods and algorithms",005.741
"2007-03-06 16:52:00","2007-03-01 11:10:00","Data mining practical machine learning tools and techniques",006.3
"2007-03-06 16:52:00","2007-03-01 11:10:00","Data mining concepts models methods and algorithms",005.741
"2007-03-08 18:27:00","2007-02-17 12:32:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-03-12 09:37:00","2006-04-21 13:18:00","Data mining your website",006.3
"2007-03-12 11:04:00","2007-03-01 11:10:00","Data mining practical machine learning tools and techniques",006.3
"2007-03-12 18:03:00","2007-03-01 17:27:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-03-15 10:34:00","2007-03-01 17:27:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-03-17 15:28:00","2007-03-17 13:36:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-03-19 12:38:00","2007-03-17 13:36:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-04-10 16:59:00","2007-03-20 16:52:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-04-15 16:20:00","2007-03-24 11:54:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-04-17 12:40:00","2007-03-24 11:54:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-04-23 17:44:00","2007-03-19 19:21:00","Data mining concepts models methods and algorithms",005.741
"2007-04-25 16:19:00","2007-04-17 14:06:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-04-30 13:56:00","2007-04-17 14:06:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-05-29 18:07:00","2007-05-04 15:36:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-06-25 18:14:00","2007-05-31 13:44:00","Data mining practical machine learning tools and techniques",006.3
"2007-07-08 17:37:00","2007-06-03 17:55:00","Data mining concepts models methods and algorithms",005.741
"2007-07-11 13:14:00","2007-06-03 17:55:00","Data mining concepts models methods and algorithms",005.741
"2007-07-17 16:06:00","2007-06-27 15:49:00","Data mining practical machine learning tools and techniques",006.3
"2007-08-07 11:52:00","2007-07-20 16:19:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-08-09 12:34:00","2007-07-16 19:54:00","Data mining concepts models methods and algorithms",005.741
"2007-09-04 12:43:00","2007-08-13 12:16:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-09-13 12:45:00","2007-07-18 17:21:00","Data mining practical machine learning tools and techniques",006.3
"2007-09-28 13:25:00","2007-06-20 13:07:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-10-01 17:50:00","2007-08-10 14:07:00","Data mining concepts models methods and algorithms",005.741
"2007-10-06 13:49:00","2007-09-14 12:54:00","Data mining practical machine learning tools and techniques",006.3
"2007-10-08 10:55:00","2007-08-10 14:07:00","Data mining concepts models methods and algorithms",005.741
"2007-10-09 11:59:00","2007-09-14 12:54:00","Data mining practical machine learning tools and techniques",006.3
"2007-11-01 10:34:00","2007-10-31 13:25:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2007-11-01 16:11:00","2007-10-04 17:06:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-11-02 10:28:00","2007-10-04 17:06:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-11-07 12:23:00","2007-10-12 10:41:00","Data mining concepts models methods and algorithms",005.741
"2007-11-07 12:45:00","2007-10-12 10:41:00","Data mining practical machine learning tools and techniques",006.3
"2007-11-08 12:07:00","2007-10-12 10:41:00","Data mining concepts models methods and algorithms",005.741
"2007-11-09 10:33:00","2007-10-12 10:41:00","Data mining practical machine learning tools and techniques",006.3
"2007-11-29 13:34:00","2007-11-05 14:04:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-12-11 15:16:00","2007-11-15 13:29:00","Data mining concepts models methods and algorithms",005.741
"2007-12-14 16:39:00","2007-12-03 13:52:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-12-14 16:39:00","2007-12-14 10:16:00","Data mining concepts models methods and algorithms",005.741
"2007-12-17 11:54:00","2007-12-03 13:52:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-12-17 11:58:00","2007-12-14 10:16:00","Data mining concepts models methods and algorithms",005.741
"2007-12-18 14:26:00","2007-12-14 10:16:00","Data mining concepts models methods and algorithms",005.741
"2007-12-18 14:27:00","2007-12-03 13:52:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-12-27 16:38:00","2007-11-15 13:29:00","Data mining practical machine learning tools and techniques",006.3
"2007-12-27 16:40:00","2007-11-15 13:29:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-01-02 17:22:00","2007-11-15 13:29:00","Data mining practical machine learning tools and techniques",006.3
"2008-01-05 14:46:00","2007-11-06 17:21:00","Data mining your website",006.3
"2008-01-09 18:10:00","2007-10-20 14:27:00","Data mining your website",006.3
"2008-01-17 11:40:00","2007-12-19 19:27:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2008-01-22 08:20:00","2008-01-17 11:40:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2008-01-28 19:30:00","2008-01-28 19:22:00","Data mining practical machine learning tools and techniques",006.3
"2008-01-29 12:36:00","2008-01-28 19:22:00","Data mining practical machine learning tools and techniques",006.3
"2008-01-29 14:14:00","2007-12-19 19:27:00","Data mining concepts models methods and algorithms",005.741
"2008-02-06 10:33:00","2008-01-06 14:03:00","Data mining practical machine learning tools and techniques",006.3
"2008-02-25 23:15:00","2008-01-29 14:16:00","Data mining practical machine learning tools and techniques",006.3
"2008-02-26 13:09:00","2008-01-29 14:16:00","Data mining practical machine learning tools and techniques",006.3
"2008-02-26 14:11:00","2008-02-01 17:39:00","Data mining practical machine learning tools and techniques",006.3
"2008-02-26 15:47:00","2008-02-01 17:39:00","Data mining practical machine learning tools and techniques",006.3
"2008-02-27 16:46:00","2008-02-01 17:39:00","Data mining practical machine learning tools and techniques",006.3
"2008-02-29 13:52:00","2008-02-09 15:57:00","Data mining practical machine learning tools and techniques",006.3
"2008-03-03 15:44:00","2008-02-09 15:57:00","Data mining practical machine learning tools and techniques",006.3
"2008-03-03 17:25:00","2008-02-01 17:39:00","Data mining practical machine learning tools and techniques",006.3
"2008-03-04 13:03:00","2008-02-01 17:39:00","Data mining practical machine learning tools and techniques",006.3
"2008-03-05 15:36:00","2007-10-20 14:27:00","Data mining your website",006.3
"2008-03-06 19:04:00","2008-01-10 19:58:00","Data mining your website",006.3
"2008-03-11 16:10:00","2008-01-09 18:37:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-03-12 17:55:00","2008-01-29 14:16:00","Data mining concepts models methods and algorithms",005.741
"2008-03-12 18:01:00","2008-01-29 14:16:00","Data mining concepts models methods and algorithms",005.741
"2008-03-14 16:11:00","2008-01-09 18:37:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-03-14 19:17:00","2008-01-29 14:16:00","Data mining concepts models methods and algorithms",005.741
"2008-03-22 10:44:00","2008-03-01 12:53:00","Data mining your website",006.3
"2008-03-29 15:08:00","2008-02-27 18:04:00","Data mining practical machine learning tools and techniques",006.3
"2008-03-31 16:35:00","2008-02-27 18:04:00","Data mining practical machine learning tools and techniques",006.3
"2008-04-01 17:06:00","2008-02-27 18:04:00","Data mining practical machine learning tools and techniques",006.3
"2008-04-14 17:59:00","2008-04-08 15:05:00","Data mining your website",006.3
"2008-04-14 18:03:00","2008-04-08 15:10:00","Data mining practical machine learning tools and techniques",006.3
"2008-04-18 12:29:00","2008-04-08 15:10:00","Data mining practical machine learning tools and techniques",006.3
"2008-04-22 15:28:00","2008-03-09 12:36:00","Data mining your website",006.3
"2008-04-23 18:14:00","2008-03-05 17:56:00","Data mining practical machine learning tools and techniques",006.3
"2008-04-29 12:09:00","2008-03-05 17:56:00","Data mining practical machine learning tools and techniques",006.3
"2008-05-01 16:39:00","2008-04-15 16:29:00","Data mining concepts models methods and algorithms",005.741
"2008-05-05 11:16:00","2008-04-22 11:16:00","Data mining practical machine learning tools and techniques",006.3
"2008-05-13 12:22:00","2008-03-09 12:36:00","Data mining your website",006.3
"2008-05-14 13:12:00","2008-04-08 15:05:00","Data mining your website",006.3
"2008-05-23 22:32:00","2008-04-30 19:43:00","Data mining practical machine learning tools and techniques",006.3
"2008-05-27 17:40:00","2008-04-30 19:43:00","Data mining practical machine learning tools and techniques",006.3
"2008-05-27 18:13:00","2008-05-06 18:57:00","Data mining practical machine learning tools and techniques",006.3
"2008-06-01 12:55:00","2008-05-03 14:04:00","Data mining concepts models methods and algorithms",005.741
"2008-06-07 17:23:00","2008-04-01 17:50:00","Data mining practical machine learning tools and techniques",006.3
"2008-06-18 16:23:00","2008-05-28 15:01:00","Data mining your website",006.3
"2008-07-29 16:44:00","2008-06-20 15:56:00","Data mining practical machine learning tools and techniques",006.3
"2008-07-31 13:26:00","2008-06-20 15:56:00","Data mining practical machine learning tools and techniques",006.3
"2008-08-01 11:31:00","2008-04-01 17:50:00","Data mining practical machine learning tools and techniques",006.3
"2008-08-01 13:19:00","2008-06-20 15:56:00","Data mining practical machine learning tools and techniques",006.3
"2008-08-18 17:14:00","2008-08-02 16:56:00","Data mining practical machine learning tools and techniques",006.3
"2008-08-27 10:16:00","2008-08-05 15:35:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-09-05 10:22:00","2008-07-21 16:59:00","Data mining concepts models methods and algorithms",005.741
"2008-09-17 15:44:00","2008-08-27 12:19:00","Data mining practical machine learning tools and techniques",006.3
"2008-09-20 13:07:00","2008-08-16 14:49:00","Data mining practical machine learning tools and techniques",006.3
"2008-10-10 13:09:00","2008-10-01 13:22:00","Data mining concepts models methods and algorithms",005.741
"2008-10-19 14:06:00","2008-10-05 14:04:00","Data mining practical machine learning tools and techniques",006.3
"2008-10-23 11:17:00","2008-10-05 14:04:00","Data mining practical machine learning tools and techniques",006.3
"2008-10-30 14:10:00","2008-10-16 15:57:00","Data mining concepts models methods and algorithms",005.741
"2008-10-30 16:33:00","2008-08-28 12:31:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-10-31 16:46:00","2008-09-29 17:38:00","Data mining practical machine learning tools and techniques",006.3
"2008-11-20 13:04:00","2008-10-05 14:04:00","Data mining practical machine learning tools and techniques",006.3
"2008-11-26 18:42:00","2008-11-26 18:37:00","Data mining practical machine learning tools and techniques",006.3
"2008-11-26 19:15:00","2008-11-09 16:53:00","Data mining your website",006.3
"2008-12-01 12:37:00","2008-05-28 15:01:00","Data mining your website",006.3
"2008-12-08 15:36:00","2008-11-17 13:16:00","Data mining practical machine learning tools and techniques",006.3
"2008-12-09 10:09:00","2008-11-25 11:24:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-12-09 12:04:00","2008-11-17 13:16:00","Data mining practical machine learning tools and techniques",006.3
"2008-12-10 12:18:00","2008-11-25 11:24:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
"2008-12-14 15:05:00","2008-11-25 19:01:00","Data mining practical machine learning tools and techniques",006.3
"2008-12-14 15:05:00","2008-11-25 18:58:00","Data mining concepts models methods and algorithms",005.741
"2008-12-17 15:37:00","2008-11-25 18:58:00","Data mining concepts models methods and algorithms",005.741
"2008-12-19 14:50:00","2008-12-03 17:09:00","Data mining your website",006.3
"2008-12-19 15:00:00","2008-12-10 17:11:00","Data mining cookbook modeling data for marketing risk and customer relationship management",005.741
