cin,cout,title,deweyClass
"2006-03-16 19:28:00","2006-02-14 18:16:00","Data mining practical machine learning tools and techniques",006.3
"2006-03-27 15:42:00","2005-12-03 16:49:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-04-11 18:22:00","2006-03-21 19:57:00","Data mining practical machine learning tools and techniques",006.3
"2006-04-22 20:57:00","2006-03-21 19:57:00","Data mining practical machine learning tools and techniques",006.3
"2006-04-25 13:30:00","2006-03-21 19:57:00","Data mining practical machine learning tools and techniques",006.3
"2006-05-25 10:49:00","2006-04-05 11:09:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-05-27 11:15:00","2006-04-27 17:07:00","Data mining practical machine learning tools and techniques",006.3
"2006-06-23 16:52:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-06-29 10:49:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-12 11:35:00","2006-04-05 11:09:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-07-12 19:12:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-13 15:10:00","2006-05-31 11:05:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-22 15:27:00","2006-07-15 10:15:00","Data mining practical machine learning tools and techniques",006.3
"2006-07-25 11:29:00","2006-07-15 10:15:00","Data mining practical machine learning tools and techniques",006.3
"2006-08-17 12:06:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-09-18 13:12:00","2006-08-26 15:16:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-09-19 13:41:00","2006-08-26 15:16:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-09-19 14:54:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-09-29 10:01:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-10-02 15:26:00","2006-07-28 11:42:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-04 16:43:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-08 14:37:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-18 11:49:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-11-20 13:03:00","2006-10-04 17:08:00","Data mining practical machine learning tools and techniques",006.3
"2006-12-15 12:03:00","2006-11-20 19:40:00","Data mining practical machine learning tools and techniques",006.3
"2006-12-20 22:00:00","2006-11-08 19:28:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-12-21 11:50:00","2006-11-08 19:28:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2006-12-27 11:08:00","2006-11-20 19:40:00","Data mining practical machine learning tools and techniques",006.3
"2006-12-28 12:33:00","2006-11-20 19:40:00","Data mining practical machine learning tools and techniques",006.3
"2007-02-15 12:39:00","2006-11-08 19:28:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-03-06 16:52:00","2007-03-01 11:10:00","Data mining practical machine learning tools and techniques",006.3
"2007-03-08 18:27:00","2007-02-17 12:32:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-03-12 11:04:00","2007-03-01 11:10:00","Data mining practical machine learning tools and techniques",006.3
"2007-04-10 16:59:00","2007-03-20 16:52:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-06-25 18:14:00","2007-05-31 13:44:00","Data mining practical machine learning tools and techniques",006.3
"2007-07-17 16:06:00","2007-06-27 15:49:00","Data mining practical machine learning tools and techniques",006.3
"2007-09-13 12:45:00","2007-07-18 17:21:00","Data mining practical machine learning tools and techniques",006.3
"2007-09-28 13:25:00","2007-06-20 13:07:00","Data mining practical machine learning tools and techniques with Java implementations",006.3
"2007-10-06 13:49:00","2007-09-14 12:54:00","Data mining practical machine learning tools and techniques",006.3
"2007-10-09 11:59:00","2007-09-14 12:54:00","Data mining practical machine learning tools and techniques",006.3
