cin,cout,title,deweyClass
"2006-01-02 17:43:00","2005-12-23 17:08:00","Learning the UNIX operating system",005.43
"2006-01-27 16:24:00","2005-12-15 13:43:00","Programmers reference Microsoft Open Database Connectivity software development kit version 2 0 for Microsoft Windows and Windows NT operating systems",005.369
"2006-01-28 13:23:00","2006-01-27 12:17:00","Learning the UNIX operating system",005.432
"2006-02-03 17:33:00","2005-10-08 10:35:00","Learning the UNIX operating system",005.432
"2006-02-06 13:13:00","2006-01-27 12:17:00","Learning the UNIX operating system",005.432
"2006-03-01 14:05:00","2006-02-10 13:17:00","Inside Linux a look at operating system development",005.4469
"2006-03-06 17:55:00","2006-02-07 18:25:00","Learning the UNIX operating system",005.432
"2006-03-07 18:58:00","2006-02-17 14:48:00","Learning the UNIX operating system",005.432
"2006-03-13 11:21:00","2006-01-11 11:16:00","IT essentials II Network operating system companion guide",004.6
"2006-04-06 18:11:00","2006-03-25 16:08:00","Learning the UNIX operating system",005.43
"2006-05-03 17:10:00","2006-01-13 14:50:00","Learning the UNIX operating system",005.432
"2006-07-03 19:07:00","2006-05-05 11:26:00","Learning the UNIX operating system",005.432
"2006-07-10 19:41:00","2006-05-30 13:42:00","Programmers reference Microsoft Open Database Connectivity software development kit version 2 0 for Microsoft Windows and Windows NT operating systems",005.369
"2006-08-02 13:04:00","2006-05-30 13:42:00","Programmers reference Microsoft Open Database Connectivity software development kit version 2 0 for Microsoft Windows and Windows NT operating systems",005.369
"2006-09-18 13:32:00","2006-06-22 12:46:00","Learning the UNIX operating system",005.432
"2006-09-25 15:10:00","2006-09-19 13:52:00","Learning the UNIX operating system",005.432
"2006-10-02 19:25:00","2006-08-26 16:31:00","Programmers reference Microsoft Open Database Connectivity software development kit version 2 0 for Microsoft Windows and Windows NT operating systems",005.369
"2006-10-06 14:48:00","2006-10-06 14:44:00","Learning the UNIX operating system",005.43
"2006-10-14 17:00:00","2006-09-01 16:05:00","Learning the UNIX operating system",005.432
"2006-10-17 11:25:00","2006-09-19 13:52:00","Learning the UNIX operating system",005.432
"2006-11-15 16:04:00","2006-11-09 14:29:00","Learning the UNIX operating system",005.43
"2006-11-25 14:01:00","2006-11-08 17:00:00","Learning the UNIX operating system",005.432
"2006-12-19 16:14:00","2006-10-20 15:37:00","Learning the UNIX operating system",005.432
"2006-12-22 10:22:00","2006-12-19 17:41:00","Learning the UNIX operating system",005.432
"2007-03-14 19:09:00","2007-02-07 18:49:00","Learning the UNIX operating system",005.432
"2007-03-16 14:41:00","2007-02-07 18:49:00","Learning the UNIX operating system",005.432
"2007-04-03 16:18:00","2007-02-26 12:32:00","IT essentials II Network operating system companion guide",004.6
"2007-04-18 15:42:00","2007-03-25 12:18:00","Learning the UNIX operating system",005.432
"2007-04-20 14:50:00","2007-03-25 12:18:00","Learning the UNIX operating system",005.432
"2007-05-02 14:35:00","2007-03-25 12:18:00","Learning the UNIX operating system",005.432
"2007-05-15 13:49:00","2007-05-09 13:38:00","Learning the UNIX operating system",005.432
"2007-05-16 10:14:00","2007-05-09 13:38:00","Learning the UNIX operating system",005.432
"2007-06-08 22:16:00","2007-05-21 16:17:00","Learning the UNIX operating system",005.432
"2007-06-11 13:12:00","2007-05-21 16:17:00","Learning the UNIX operating system",005.432
"2007-07-11 19:37:00","2007-06-13 10:36:00","Learning the UNIX operating system",005.432
"2007-07-16 16:05:00","2007-02-08 16:39:00","IT essentials II Network operating system companion guide",004.6
"2007-07-16 19:07:00","2007-06-13 10:36:00","Learning the UNIX operating system",005.432
"2007-07-27 10:55:00","2007-06-13 10:36:00","Learning the UNIX operating system",005.432
"2007-07-31 19:10:00","2007-06-13 10:36:00","Learning the UNIX operating system",005.432
"2007-08-01 12:45:00","2007-06-13 10:36:00","Learning the UNIX operating system",005.432
"2007-08-13 11:58:00","2006-11-08 17:00:00","Learning the UNIX operating system",005.432
"2007-08-29 12:15:00","2007-08-20 14:59:00","McGraw Hill personal computer programming encyclopedia languages and operating systems",005.26
"2007-09-02 15:37:00","2007-08-09 17:50:00","Learning the UNIX operating system",005.432
"2007-09-09 09:32:00","2007-08-14 11:27:00","Disk Operating System version 3 00 programming family applications setup guide",005.4465
"2007-09-12 16:46:00","2007-08-25 14:16:00","Inside Linux a look at operating system development",005.4469
"2007-09-15 17:39:00","2007-07-21 12:05:00","IT essentials II Network operating system companion guide",004.6
"2007-10-12 16:57:00","2007-08-27 15:39:00","Learning the UNIX operating system",005.43
"2007-11-06 16:44:00","2007-10-24 11:52:00","Learning the UNIX operating system",005.432
"2007-12-08 12:40:00","2007-10-02 19:53:00","IT essentials II Network operating system companion guide",004.6
"2007-12-27 11:41:00","2007-02-26 12:32:00","IT essentials II Network operating system companion guide",004.6
"2007-12-27 13:16:00","2007-10-24 11:52:00","Learning the UNIX operating system",005.432
"2008-02-19 16:16:00","2007-02-26 12:32:00","IT essentials II Network operating system companion guide",004.6
"2008-02-27 18:56:00","2008-01-14 16:10:00","IT essentials II Network operating system companion guide",004.6
"2008-03-02 16:56:00","2008-02-21 18:49:00","Learning the UNIX operating system",005.43
